File,Most Common Function Words,Function Word Proportion
020304.cha,"[('prep', 25), ('part', 21), ('det:art', 18), ('comp', 16), ('qn', 14), ('mod', 12), ('conj', 8), ('cop', 5), ('inf', 5), ('aux', 2), ('coord', 1)]",0.03245591617684641
020318.cha,"[('prep', 38), ('part', 25), ('comp', 17), ('conj', 11), ('qn', 10), ('det:art', 6), ('mod', 6), ('aux', 2), ('cop', 2), ('inf', 2)]",0.029470034670629024
020403.cha,"[('part', 56), ('prep', 38), ('qn', 31), ('comp', 30), ('det:art', 19), ('mod', 17), ('aux', 4), ('cop', 2), ('conj', 1), ('inf', 1)]",0.06817403220280918
020415.cha,"[('comp', 89), ('part', 28), ('prep', 28), ('mod', 8), ('qn', 7), ('det:art', 6), ('conj', 4), ('cop', 2)]",0.07789855072463768
020430.cha,"[('prep', 52), ('part', 44), ('comp', 42), ('qn', 15), ('mod', 10), ('det:art', 6), ('inf', 3), ('conj', 3), ('cop', 1)]",0.06330935251798561
020512.cha,"[('part', 66), ('prep', 48), ('comp', 35), ('qn', 15), ('mod', 13), ('det:art', 13), ('conj', 3), ('coord', 2), ('aux', 2), ('inf', 1)]",0.07401869158878505
020603.cha,"[('prep', 93), ('part', 88), ('det:art', 53), ('comp', 45), ('cop', 24), ('qn', 18), ('mod', 13), ('inf', 10), ('aux', 3), ('coord', 2), ('conj', 1)]",0.11408083441981746
020617.cha,"[('det:art', 109), ('prep', 63), ('part', 53), ('inf', 47), ('comp', 41), ('cop', 31), ('qn', 23), ('mod', 14), ('aux', 8)]",0.1517752633632462
020701.cha,"[('det:art', 88), ('prep', 77), ('part', 50), ('mod', 47), ('comp', 41), ('qn', 29), ('inf', 20), ('cop', 18), ('coord', 9), ('aux', 5)]",0.12379110251450677
020714.cha,"[('det:art', 99), ('prep', 55), ('part', 52), ('qn', 45), ('coord', 40), ('cop', 31), ('mod', 25), ('comp', 24), ('aux', 6), ('inf', 1), ('conj', 1)]",0.11033478893740903
020801.cha,"[('det:art', 96), ('prep', 84), ('part', 76), ('mod', 47), ('cop', 43), ('comp', 41), ('qn', 29), ('aux', 12), ('inf', 4), ('conj', 4), ('coord', 3)]",0.13478661344795825
020816.cha,"[('prep', 84), ('part', 51), ('det:art', 43), ('mod', 36), ('cop', 34), ('comp', 32), ('qn', 26), ('coord', 17), ('aux', 6), ('conj', 3), ('inf', 2)]",0.1300116776956014
020904.cha,"[('prep', 57), ('part', 45), ('det:art', 34), ('comp', 29), ('mod', 24), ('cop', 11), ('qn', 10), ('inf', 4), ('aux', 3), ('coord', 2)]",0.11921611322808928
020918.cha,"[('prep', 57), ('cop', 41), ('det:art', 31), ('part', 29), ('qn', 21), ('comp', 21), ('mod', 20), ('coord', 12), ('aux', 5), ('inf', 5), ('conj', 1)]",0.1205955334987593
021002.cha,"[('qn', 78), ('mod', 72), ('prep', 65), ('part', 51), ('cop', 35), ('comp', 26), ('det:art', 17), ('aux', 9), ('coord', 2), ('inf', 1), ('conj', 1)]",0.12614840989399292
021016.cha,"[('cop', 67), ('mod', 49), ('prep', 37), ('part', 37), ('qn', 35), ('comp', 14), ('det:art', 13), ('coord', 6), ('inf', 4), ('conj', 2), ('aux', 1)]",0.11267006802721088
021030.cha,"[('part', 119), ('prep', 111), ('mod', 63), ('comp', 48), ('qn', 46), ('cop', 36), ('det:art', 22), ('aux', 12), ('inf', 4), ('conj', 4), ('coord', 2)]",0.13800236406619384
021113.cha,"[('part', 98), ('cop', 79), ('comp', 64), ('prep', 64), ('mod', 63), ('qn', 20), ('det:art', 12), ('aux', 8), ('conj', 6), ('inf', 2), ('coord', 2)]",0.12240117130307467
021128.cha,"[('part', 144), ('prep', 117), ('mod', 109), ('comp', 70), ('cop', 64), ('qn', 34), ('inf', 31), ('aux', 30), ('det:art', 19), ('coord', 6), ('conj', 4)]",0.14269484208134514
030011.cha,"[('det:art', 186), ('part', 129), ('prep', 126), ('mod', 115), ('cop', 70), ('qn', 68), ('comp', 56), ('inf', 22), ('aux', 19), ('coord', 10), ('conj', 7)]",0.181287861790442
030025.cha,"[('det:art', 242), ('prep', 187), ('part', 187), ('mod', 107), ('cop', 94), ('inf', 59), ('qn', 51), ('comp', 49), ('aux', 33), ('coord', 18), ('conj', 4)]",0.23495897903372834
030109.cha,"[('det:art', 227), ('prep', 176), ('part', 153), ('mod', 89), ('cop', 88), ('qn', 79), ('inf', 45), ('aux', 29), ('comp', 29), ('coord', 15), ('conj', 4)]",0.2100292331909152
030126.cha,"[('prep', 169), ('det:art', 161), ('qn', 126), ('part', 122), ('mod', 86), ('cop', 55), ('coord', 24), ('inf', 16), ('aux', 14), ('conj', 11), ('comp', 11)]",0.19060177415487892
030209.cha,"[('det:art', 157), ('prep', 122), ('part', 100), ('mod', 70), ('cop', 66), ('qn', 64), ('inf', 24), ('coord', 17), ('aux', 12), ('comp', 9), ('conj', 7)]",0.1874457622215794
030221.cha,"[('det:art', 231), ('mod', 164), ('prep', 155), ('cop', 115), ('part', 103), ('qn', 58), ('inf', 57), ('coord', 37), ('aux', 27), ('comp', 18), ('conj', 13)]",0.21091222773344834
030304.cha,"[('det:art', 199), ('prep', 162), ('mod', 154), ('cop', 99), ('part', 96), ('qn', 43), ('inf', 42), ('coord', 22), ('aux', 17), ('conj', 16), ('comp', 11)]",0.21254011355220934
030318.cha,"[('prep', 233), ('part', 228), ('det:art', 219), ('mod', 136), ('cop', 119), ('inf', 111), ('qn', 79), ('aux', 32), ('conj', 18), ('coord', 18), ('comp', 14)]",0.2516155930790077
030401.cha,"[('det:art', 215), ('mod', 163), ('cop', 142), ('prep', 142), ('part', 129), ('coord', 81), ('qn', 42), ('inf', 34), ('aux', 32), ('conj', 24), ('comp', 15)]",0.24424736337488015
030418.cha,"[('det:art', 180), ('prep', 150), ('part', 146), ('mod', 131), ('cop', 118), ('coord', 94), ('inf', 68), ('qn', 58), ('aux', 49), ('conj', 23), ('comp', 10)]",0.247529525186792
030501.cha,"[('mod', 167), ('det:art', 166), ('prep', 162), ('cop', 118), ('part', 102), ('inf', 45), ('conj', 40), ('coord', 39), ('qn', 37), ('aux', 31), ('comp', 25)]",0.21599073001158747
030515.cha,"[('det:art', 184), ('prep', 154), ('mod', 131), ('cop', 88), ('part', 87), ('qn', 48), ('coord', 40), ('inf', 28), ('aux', 20), ('comp', 14), ('conj', 10)]",0.23344947735191637
030529.cha,"[('mod', 162), ('det:art', 149), ('prep', 143), ('cop', 124), ('part', 68), ('inf', 47), ('qn', 35), ('aux', 27), ('coord', 27), ('conj', 12), ('comp', 12)]",0.20848422141748577
030609.cha,"[('det:art', 142), ('prep', 134), ('mod', 109), ('part', 82), ('cop', 59), ('coord', 57), ('inf', 52), ('qn', 28), ('aux', 23), ('conj', 9), ('comp', 9)]",0.23203691496374423
030707.cha,"[('det:art', 204), ('prep', 131), ('mod', 121), ('part', 100), ('cop', 97), ('inf', 61), ('aux', 38), ('qn', 27), ('coord', 27), ('conj', 14), ('comp', 12)]",0.22958057395143489
030801.cha,"[('mod', 176), ('det:art', 148), ('prep', 134), ('part', 113), ('cop', 90), ('inf', 73), ('coord', 42), ('aux', 33), ('qn', 30), ('conj', 17), ('comp', 7)]",0.2313052800857679
030814.cha,"[('det:art', 206), ('cop', 161), ('prep', 140), ('mod', 133), ('part', 93), ('inf', 56), ('aux', 44), ('qn', 36), ('comp', 21), ('conj', 11), ('coord', 11)]",0.2246858832224686
030826.cha,"[('det:art', 226), ('cop', 190), ('mod', 166), ('prep', 115), ('part', 94), ('aux', 59), ('inf', 39), ('qn', 34), ('coord', 17), ('comp', 17), ('conj', 10)]",0.22472693469672322
030916.cha,"[('mod', 150), ('prep', 150), ('det:art', 125), ('cop', 123), ('part', 84), ('qn', 58), ('inf', 47), ('conj', 31), ('coord', 29), ('aux', 26), ('comp', 9)]",0.2244402481791206
031015.cha,"[('mod', 158), ('det:art', 110), ('prep', 84), ('cop', 79), ('part', 43), ('inf', 39), ('aux', 24), ('coord', 19), ('qn', 18), ('conj', 16), ('comp', 13)]",0.22840909090909092
031101.cha,"[('det:art', 165), ('mod', 131), ('cop', 114), ('prep', 102), ('part', 90), ('inf', 40), ('aux', 38), ('coord', 28), ('qn', 26), ('comp', 17), ('conj', 12)]",0.2337622549019608
