File,Most Common Function Words,Function Word Proportion
010413.cha,"[('det:art', 14), ('prep', 6), ('conj', 3), ('part', 2)]",0.03968253968253968
010608.cha,"[('det:art', 54), ('prep', 35), ('conj', 27), ('part', 6)]",0.09621451104100946
010703.cha,"[('det:art', 35), ('prep', 17), ('part', 13), ('conj', 9)]",0.05514157973174367
010904.cha,"[('det:art', 55), ('prep', 32), ('part', 25), ('conj', 12), ('qn', 2)]",0.08860759493670886
011017.cha,"[('det:art', 38), ('prep', 28), ('part', 13), ('conj', 10), ('qn', 1)]",0.08637236084452975
020000.cha,"[('det:art', 166), ('prep', 80), ('part', 58), ('conj', 48)]",0.1639496972519795
020025.cha,"[('det:art', 116), ('prep', 33), ('conj', 20), ('part', 8)]",0.17788944723618091
020105.cha,"[('det:art', 103), ('prep', 73), ('conj', 27), ('part', 24), ('qn', 2)]",0.12945166760881854
020216.cha,"[('det:art', 139), ('prep', 97), ('part', 45), ('conj', 25), ('qn', 3)]",0.15102639296187684
020329.cha,"[('det:art', 140), ('prep', 57), ('conj', 44), ('part', 18)]",0.13805970149253732
020428.cha,"[('det:art', 116), ('prep', 84), ('conj', 41), ('part', 34), ('qn', 1)]",0.12843182875756165
020529.cha,"[('det:art', 154), ('prep', 69), ('part', 32), ('conj', 24), ('qn', 2)]",0.1255585344057194
020626.cha,"[('det:art', 154), ('prep', 101), ('conj', 21), ('part', 17), ('qn', 1)]",0.13267148014440433
020804.cha,"[('det:art', 114), ('prep', 67), ('conj', 15), ('part', 14), ('qn', 1)]",0.1442241968557758
020923.cha,"[('det:art', 97), ('prep', 55), ('conj', 16), ('part', 16)]",0.12242182302062542
021023.cha,"[('det:art', 126), ('prep', 108), ('part', 31), ('conj', 30), ('qn', 2)]",0.15099135739705136
021122.cha,"[('prep', 89), ('det:art', 79), ('conj', 41), ('part', 26)]",0.12540021344717184
030107.cha,"[('det:art', 92), ('prep', 72), ('conj', 36), ('part', 28), ('qn', 3)]",0.14807692307692308
030300.cha,"[('det:art', 122), ('prep', 104), ('conj', 41), ('part', 26), ('qn', 2)]",0.13354459031235855
030427.cha,"[('det:art', 164), ('prep', 141), ('conj', 99), ('part', 42), ('qn', 2)]",0.16167448574521834
030522.cha,"[('det:art', 143), ('prep', 128), ('conj', 69), ('part', 32), ('qn', 4)]",0.14590609235545207
030626.cha,"[('det:art', 130), ('prep', 101), ('conj', 68), ('part', 25)]",0.1341614906832298
030809.cha,"[('prep', 111), ('det:art', 99), ('conj', 50), ('part', 25), ('qn', 5)]",0.1486417221937468
031000.cha,"[('det:art', 147), ('prep', 130), ('conj', 116), ('part', 29), ('qn', 4)]",0.18513689700130379
040012.cha,"[('det:art', 266), ('conj', 186), ('prep', 162), ('part', 30), ('qn', 7)]",0.21743486973947895
040117.cha,"[('prep', 132), ('det:art', 121), ('conj', 56), ('part', 31), ('qn', 2)]",0.14132231404958678
040410.cha,"[('det:art', 121), ('prep', 120), ('conj', 38), ('part', 18), ('qn', 6)]",0.12609238451935081
040523.cha,"[('det:art', 127), ('prep', 124), ('conj', 40), ('part', 15), ('qn', 7)]",0.14510894761242465
040808.cha,"[('det:art', 111), ('prep', 94), ('conj', 46), ('part', 23), ('qn', 13)]",0.13837994214079075
050120.cha,"[('prep', 128), ('det:art', 107), ('conj', 61), ('part', 47), ('qn', 5)]",0.15032397408207343
050706.cha,"[('det:art', 132), ('prep', 122), ('conj', 60), ('part', 35), ('qn', 2)]",0.16580066131317903
051030.cha,"[('prep', 80), ('det:art', 64), ('conj', 39), ('part', 15), ('qn', 1)]",0.1209726443768997
