File,Most Common Function Words,Function Word Proportion
10023a.cha,"[('det:art', 7), ('prep', 3), ('part', 2)]",0.06417112299465241
10023b.cha,"[('det:art', 4), ('prep', 3), ('part', 1)]",0.04020100502512563
10113a.cha,"[('prep', 9), ('det:art', 8), ('part', 2), ('conj', 1)]",0.05235602094240838
10113b.cha,"[('det:art', 11), ('prep', 4), ('conj', 3), ('part', 1)]",0.08370044052863436
10127a.cha,"[('det:art', 10), ('part', 3), ('prep', 2), ('conj', 1), ('qn', 1)]",0.04218362282878412
10127b.cha,"[('prep', 11), ('det:art', 6), ('part', 2), ('qn', 1)]",0.066006600660066
10211a.cha,"[('det:art', 9), ('part', 6), ('prep', 4), ('conj', 2)]",0.05898876404494382
10211b.cha,"[('det:art', 12), ('prep', 9), ('conj', 4), ('part', 4), ('qn', 1)]",0.09036144578313253
10303a.cha,"[('det:art', 15), ('prep', 9), ('part', 8), ('conj', 7)]",0.0835117773019272
10303b.cha,"[('det:art', 18), ('prep', 10), ('part', 6), ('conj', 4), ('qn', 1)]",0.07027027027027027
10315a.cha,"[('det:art', 51), ('prep', 17), ('conj', 12), ('part', 3), ('qn', 1)]",0.1423728813559322
10315b.cha,"[('det:art', 34), ('prep', 19), ('conj', 14), ('part', 11)]",0.11095305832147938
10401a.cha,"[('prep', 3), ('conj', 2), ('det:art', 2), ('part', 1), ('qn', 1)]",0.0410958904109589
10401b.cha,"[('prep', 2), ('det:art', 2), ('qn', 1)]",0.0273224043715847
10419a.cha,"[('det:art', 5), ('qn', 1), ('prep', 1), ('conj', 1)]",0.050314465408805034
10419b.cha,"[('prep', 5), ('det:art', 4), ('qn', 1), ('conj', 1)]",0.08148148148148149
10503a.cha,"[('det:art', 6), ('prep', 5), ('part', 2)]",0.031476997578692496
10503b.cha,"[('det:art', 40), ('prep', 13), ('conj', 5), ('part', 1)]",0.10350877192982456
10506a.cha,"[('prep', 5), ('det:art', 2), ('conj', 2)]",0.030716723549488054
10506b.cha,"[('det:art', 7), ('prep', 5), ('part', 2), ('conj', 2)]",0.05128205128205128
10519a.cha,"[('det:art', 9), ('prep', 6), ('conj', 1)]",0.038461538461538464
10519b.cha,"[('prep', 14), ('det:art', 8), ('conj', 2), ('qn', 1)]",0.046992481203007516
10621a.cha,"[('det:art', 41), ('prep', 14), ('conj', 12), ('part', 3)]",0.11627906976744186
