File,Most Common Function Words,Function Word Proportion
011012.cha,"[('det:art', 16), ('prep', 3), ('qn', 3), ('conj', 3), ('part', 2)]",0.047619047619047616
011026.cha,"[('det:art', 49), ('prep', 21), ('part', 7), ('conj', 6), ('qn', 1)]",0.09100758396533044
011113.cha,"[('det:art', 25), ('part', 13), ('prep', 10), ('conj', 7), ('qn', 6)]",0.07692307692307693
011129.cha,"[('det:art', 23), ('prep', 10), ('part', 5)]",0.06797853309481217
020013.cha,"[('det:art', 8), ('part', 3), ('prep', 3)]",0.044444444444444446
020027.cha,"[('det:art', 45), ('prep', 39), ('part', 4), ('conj', 4)]",0.13333333333333333
020119.cha,"[('det:art', 36), ('part', 30), ('prep', 23), ('conj', 7), ('qn', 1)]",0.1041890440386681
020200.cha,"[('det:art', 19), ('prep', 18), ('part', 18), ('conj', 10)]",0.09643916913946587
020220.cha,"[('det:art', 27), ('part', 18), ('prep', 17), ('conj', 8)]",0.07600434310532031
020230.cha,"[('det:art', 60), ('prep', 9), ('conj', 6), ('part', 5)]",0.10989010989010989
020315.cha,"[('det:art', 37), ('prep', 15), ('part', 7), ('conj', 7)]",0.13865546218487396
020402.cha,"[('det:art', 42), ('prep', 30), ('part', 9), ('conj', 5)]",0.08838643371017471
020420.cha,"[('det:art', 32), ('prep', 19), ('part', 16), ('conj', 13)]",0.11412268188302425
020504.cha,"[('det:art', 33), ('conj', 26), ('prep', 22), ('part', 14)]",0.08605072463768115
020518.cha,"[('det:art', 81), ('prep', 55), ('conj', 41), ('part', 11)]",0.13230119634060522
020602.cha,"[('det:art', 63), ('prep', 32), ('conj', 24), ('part', 12)]",0.10925771476230192
020618.cha,"[('det:art', 72), ('prep', 36), ('conj', 23), ('part', 8)]",0.13076199435559738
020701.cha,"[('det:art', 28), ('prep', 23), ('conj', 9), ('part', 2), ('qn', 1)]",0.0815006468305304
020716.cha,"[('det:art', 60), ('prep', 59), ('conj', 17), ('part', 8)]",0.17496962332928312
020803.cha,"[('det:art', 68), ('prep', 45), ('conj', 37), ('part', 4)]",0.14694656488549618
020820.cha,"[('conj', 74), ('det:art', 60), ('prep', 54), ('part', 14)]",0.1294042280589366
020915.cha,"[('det:art', 39), ('prep', 25), ('part', 11), ('conj', 9), ('qn', 1)]",0.0845771144278607
021018.cha,"[('det:art', 90), ('prep', 61), ('part', 16), ('conj', 12), ('qn', 2)]",0.1181462140992167
021102.cha,"[('det:art', 51), ('prep', 48), ('part', 14), ('conj', 10), ('qn', 1)]",0.08152531229454306
030002.cha,"[('det:art', 82), ('prep', 80), ('conj', 31), ('part', 16)]",0.12885326757090013
030010.cha,"[('det:art', 42), ('prep', 33), ('conj', 19), ('part', 9)]",0.11664779161947905
030104.cha,"[('prep', 54), ('det:art', 52), ('conj', 11), ('part', 11)]",0.08852005532503458
030115.cha,"[('det:art', 57), ('prep', 34), ('conj', 16), ('part', 11)]",0.10323709536307961
030204.cha,"[('det:art', 82), ('prep', 51), ('conj', 42), ('part', 16), ('qn', 2)]",0.1890303623898139
030209.cha,"[('det:art', 59), ('conj', 35), ('prep', 34), ('part', 16)]",0.12131423757371525
030229.cha,"[('prep', 49), ('det:art', 41), ('part', 21), ('conj', 12), ('qn', 3)]",0.11219946571682991
030316.cha,"[('prep', 49), ('det:art', 48), ('part', 24), ('conj', 20)]",0.10763358778625955
030409.cha,"[('det:art', 55), ('prep', 49), ('conj', 14), ('part', 10), ('qn', 1)]",0.125
030423.cha,"[('det:art', 52), ('prep', 31), ('part', 20), ('conj', 14)]",0.11688311688311688
030504.cha,"[('det:art', 59), ('prep', 33), ('conj', 17), ('part', 7)]",0.10810810810810811
