File,Most Common Function Words,Function Word Proportion
010024.cha,"[('prep', 34), ('det:art', 33), ('part', 17), ('conj', 7), ('qn', 1)]",0.07342378292098962
010124.cha,"[('det:art', 41), ('prep', 40), ('part', 11), ('conj', 10), ('qn', 1), ('aux', 1)]",0.10494450050454086
010224.cha,"[('det:art', 28), ('prep', 22), ('part', 21), ('conj', 7)]",0.08469055374592833
010315.cha,"[('prep', 25), ('det:art', 23), ('part', 16), ('conj', 4)]",0.0757238307349666
010419.cha,"[('det:art', 55), ('prep', 36), ('conj', 20), ('part', 15)]",0.10378912685337727
010521.cha,"[('det:art', 45), ('prep', 25), ('part', 25), ('conj', 15)]",0.08094186902133922
010622.cha,"[('det:art', 41), ('prep', 35), ('conj', 26), ('part', 18), ('qn', 2)]",0.09384615384615384
010715.cha,"[('det:art', 22), ('prep', 21), ('conj', 12), ('part', 11), ('qn', 1)]",0.06864754098360656
010805.cha,"[('prep', 78), ('det:art', 70), ('part', 37), ('conj', 18), ('qn', 1)]",0.10793650793650794
010911.cha,"[('det:art', 53), ('prep', 40), ('part', 20), ('conj', 15), ('qn', 2)]",0.09730538922155689
010927.cha,"[('det:art', 39), ('prep', 22), ('part', 21), ('conj', 8), ('qn', 8)]",0.07550077041602465
011010.cha,"[('det:art', 38), ('part', 17), ('prep', 12), ('qn', 12), ('conj', 4)]",0.08050436469447139
011104.cha,"[('det:art', 50), ('prep', 35), ('part', 33), ('conj', 24), ('qn', 4)]",0.10260014054813774
011118.cha,"[('part', 35), ('det:art', 29), ('prep', 25), ('conj', 14), ('qn', 4)]",0.09648331830477908
020001.cha,"[('prep', 46), ('det:art', 40), ('part', 16), ('conj', 9), ('qn', 8)]",0.08062330623306233
020020.cha,"[('det:art', 35), ('prep', 33), ('part', 13), ('conj', 8)]",0.06686701728024042
020113.cha,"[('det:art', 34), ('prep', 33), ('part', 18), ('conj', 13), ('qn', 1)]",0.06604402935290193
020123.cha,"[('det:art', 60), ('prep', 44), ('part', 17), ('conj', 11)]",0.08672798948751642
020212.cha,"[('det:art', 70), ('prep', 19), ('part', 9), ('conj', 9), ('qn', 2)]",0.11645299145299146
020227.cha,"[('prep', 54), ('det:art', 47), ('part', 21), ('conj', 18)]",0.0851063829787234
020228.cha,"[('det:art', 106), ('prep', 54), ('part', 27), ('conj', 21), ('qn', 1)]",0.11483516483516483
020305.cha,"[('det:art', 92), ('prep', 44), ('conj', 26), ('part', 17), ('qn', 4)]",0.0989724175229854
020315.cha,"[('det:art', 46), ('prep', 32), ('part', 30), ('conj', 22), ('qn', 5)]",0.09789702683103699
020403.cha,"[('det:art', 45), ('prep', 44), ('part', 20), ('conj', 13), ('qn', 4)]",0.10387469084913438
020425.cha,"[('det:art', 117), ('prep', 85), ('part', 42), ('conj', 40), ('qn', 4)]",0.11059907834101383
020524.cha,"[('prep', 67), ('det:art', 59), ('part', 51), ('conj', 22), ('qn', 2)]",0.13043478260869565
020624.cha,"[('det:art', 115), ('prep', 62), ('part', 40), ('conj', 18), ('qn', 2)]",0.1207335710646969
020722.cha,"[('det:art', 121), ('prep', 98), ('part', 50), ('conj', 16), ('qn', 1)]",0.1455470737913486
020820.cha,"[('det:art', 78), ('prep', 41), ('part', 26), ('conj', 18), ('qn', 1)]",0.09832134292565947
020916.cha,"[('prep', 122), ('det:art', 113), ('part', 42), ('conj', 39), ('qn', 13)]",0.13149480415667467
021116.cha,"[('det:art', 142), ('prep', 99), ('conj', 44), ('part', 41), ('qn', 1)]",0.1353476821192053
030021.cha,"[('det:art', 122), ('prep', 108), ('part', 39), ('conj', 19), ('qn', 1)]",0.1319032405294386
030224.cha,"[('det:art', 71), ('prep', 63), ('part', 22), ('conj', 16), ('qn', 7)]",0.12061994609164421
030500.cha,"[('det:art', 110), ('prep', 69), ('part', 29), ('conj', 28), ('qn', 3)]",0.10790067720090293
030701.cha,"[('det:art', 114), ('prep', 70), ('conj', 38), ('part', 27), ('qn', 2)]",0.12438057482656095
030922.cha,"[('det:art', 108), ('conj', 101), ('prep', 88), ('part', 35), ('qn', 2)]",0.13767518549051938
040009.cha,"[('det:art', 115), ('prep', 72), ('conj', 33), ('part', 30), ('qn', 2)]",0.13665943600867678
040219.cha,"[('det:art', 83), ('prep', 60), ('part', 20), ('conj', 8), ('qn', 1)]",0.12112676056338029
040516.cha,"[('det:art', 117), ('prep', 79), ('conj', 53), ('part', 33), ('qn', 3)]",0.13031550068587106
040802.cha,"[('det:art', 94), ('prep', 79), ('conj', 33), ('part', 23), ('qn', 5)]",0.11239193083573487
050213.cha,"[('det:art', 81), ('prep', 76), ('part', 53), ('conj', 34), ('qn', 3)]",0.10408765276021913
050428.cha,"[('prep', 154), ('det:art', 122), ('conj', 105), ('part', 82), ('qn', 9)]",0.16054421768707483
050711.cha,"[('prep', 73), ('det:art', 62), ('part', 30), ('conj', 27), ('qn', 3)]",0.11079545454545454
051118.cha,"[('prep', 129), ('det:art', 116), ('part', 48), ('conj', 45), ('qn', 4)]",0.15489130434782608
060308.cha,"[('prep', 174), ('det:art', 146), ('conj', 78), ('part', 52), ('qn', 7)]",0.1519787163285667
