File,Most Common Function Words,Function Word Proportion
010906x.cha,"[('part', 2), ('conj', 1), ('det:art', 1)]",0.19047619047619047
010918.cha,"[('part', 19), ('det:art', 12), ('qn', 2), ('prep', 1), ('conj', 1)]",0.057003257328990226
010918x.cha,"[('part', 9), ('det:art', 6), ('prep', 3)]",0.07171314741035857
010928.cha,"[('det:art', 73), ('prep', 27), ('part', 18), ('qn', 5), ('conj', 2)]",0.07886435331230283
011003.cha,"[('det:art', 79), ('part', 29), ('prep', 18), ('conj', 1)]",0.09875583203732503
011003x.cha,"[('part', 2)]",0.1111111111111111
011024x.cha,"[('prep', 3)]",0.2727272727272727
011121x.cha,"[('part', 7), ('prep', 2), ('det:art', 1)]",0.12195121951219512
011122.cha,"[('part', 44), ('det:art', 32), ('conj', 13), ('prep', 11)]",0.12468827930174564
020124x.cha,"[('part', 5), ('prep', 1)]",0.07317073170731707
020125.cha,"[('prep', 43), ('det:art', 20), ('part', 8), ('conj', 2)]",0.13035714285714287
020300x.cha,[],0.0
020301.cha,"[('prep', 73), ('det:art', 63), ('part', 19), ('conj', 13), ('qn', 2)]",0.12065294535131299
020501.cha,"[('prep', 40), ('det:art', 39), ('conj', 16), ('part', 12)]",0.13391739674593242
020501x.cha,"[('part', 5), ('prep', 3), ('det:art', 2)]",0.16129032258064516
020513.cha,"[('det:art', 115), ('prep', 97), ('conj', 30), ('part', 28), ('qn', 2)]",0.15587392550143267
020513x.cha,"[('part', 10), ('prep', 5), ('det:art', 3)]",0.16666666666666666
020527.cha,"[('det:art', 90), ('prep', 83), ('part', 54), ('conj', 36), ('qn', 3)]",0.14339622641509434
020527x.cha,"[('part', 3), ('prep', 1), ('conj', 1)]",0.06172839506172839
020617x.cha,"[('prep', 15), ('det:art', 8), ('part', 4), ('conj', 4), ('qn', 2)]",0.12177121771217712
020701x.cha,[],0.0
020722x.cha,"[('prep', 3), ('part', 3), ('det:art', 2)]",0.11764705882352941
020813x.cha,[],0.0
020903x.cha,"[('prep', 3), ('det:art', 1)]",0.10256410256410256
021000x.cha,"[('det:art', 2)]",0.07692307692307693
021009x.cha,"[('prep', 8), ('det:art', 3)]",0.10784313725490197
021122x.cha,"[('det:art', 4), ('prep', 1)]",0.16129032258064516
030011x.cha,"[('prep', 4), ('det:art', 1)]",0.09433962264150944
030109x.cha,"[('prep', 3), ('det:art', 1), ('part', 1)]",0.10416666666666667
030129x.cha,"[('det:art', 1), ('conj', 1), ('prep', 1)]",0.25
030414x.cha,"[('prep', 3), ('det:art', 2), ('part', 1), ('conj', 1)]",0.25
030512x.cha,"[('prep', 18), ('det:art', 13), ('part', 3), ('conj', 2), ('qn', 1)]",0.14682539682539683
