File,Most Common Function Words,Function Word Proportion
010826.cha,"[('part', 34), ('det:art', 33), ('prep', 11), ('conj', 6)]",0.07222699914015478
010903.cha,"[('det:art', 45), ('conj', 12), ('prep', 9), ('part', 7), ('qn', 2)]",0.0600480384307446
010910.cha,"[('det:art', 24), ('prep', 18), ('part', 17), ('conj', 4)]",0.046875
010916.cha,"[('det:art', 25), ('prep', 12), ('conj', 7), ('part', 3), ('qn', 3)]",0.056818181818181816
011001.cha,"[('det:art', 34), ('part', 3), ('conj', 1), ('prep', 1)]",0.05327868852459016
011022.cha,"[('det:art', 21), ('part', 10), ('prep', 10), ('conj', 4)]",0.04186046511627907
011105.cha,"[('det:art', 38), ('prep', 13), ('part', 5), ('conj', 4)]",0.07434944237918216
011118.cha,"[('det:art', 28), ('prep', 16), ('part', 11), ('conj', 8), ('qn', 1)]",0.0631786771964462
020009.cha,"[('det:art', 35), ('prep', 24), ('part', 10), ('conj', 2)]",0.07529162248144221
020104.cha,"[('det:art', 75), ('prep', 71), ('part', 9), ('conj', 4)]",0.1375432525951557
020107.cha,"[('prep', 28), ('det:art', 19), ('part', 13)]",0.08075370121130551
020128.cha,"[('det:art', 62), ('prep', 52), ('conj', 26), ('part', 16), ('qn', 1)]",0.10221354166666667
020211.cha,"[('det:art', 50), ('prep', 26), ('conj', 18), ('part', 15), ('qn', 2)]",0.09446808510638298
020303.cha,"[('det:art', 20), ('prep', 5), ('part', 5), ('conj', 4)]",0.06343283582089553
020313.cha,"[('det:art', 83), ('prep', 50), ('part', 26), ('conj', 15), ('qn', 4)]",0.11795891318754141
020526.cha,"[('det:art', 51), ('prep', 46), ('part', 15), ('conj', 15), ('qn', 1)]",0.11862835959221502
020610.cha,"[('det:art', 124), ('prep', 63), ('conj', 19), ('part', 17), ('qn', 1)]",0.11921234699308142
