File,Most Common Function Words,Function Word Proportion
020822.cha,"[('prep', 70), ('det:art', 61), ('conj', 20), ('part', 16), ('qn', 8)]",0.10849349039057657
020905.cha,"[('prep', 70), ('det:art', 59), ('conj', 30), ('part', 17), ('qn', 1)]",0.1241234221598878
020921.cha,"[('det:art', 49), ('prep', 32), ('conj', 17), ('part', 11)]",0.09620476610767872
021007.cha,"[('prep', 81), ('det:art', 68), ('conj', 30), ('part', 19)]",0.11813842482100238
021021.cha,"[('prep', 37), ('det:art', 18), ('part', 14), ('conj', 3)]",0.10714285714285714
021104.cha,"[('prep', 44), ('det:art', 37), ('conj', 6), ('part', 5), ('qn', 1)]",0.08848715509039011
021118.cha,"[('prep', 43), ('det:art', 19), ('conj', 8), ('part', 8), ('qn', 1)]",0.08342133051742344
030005.cha,"[('prep', 70), ('det:art', 48), ('conj', 16), ('part', 9), ('qn', 2)]",0.10189739985945186
030024.cha,"[('prep', 105), ('det:art', 59), ('conj', 19), ('part', 15)]",0.12007277137659188
030107.cha,"[('det:art', 49), ('prep', 40), ('part', 21), ('conj', 10), ('qn', 1)]",0.0990990990990991
030224.cha,"[('prep', 39), ('det:art', 27), ('part', 7), ('conj', 2), ('qn', 1)]",0.09090909090909091
030308.cha,"[('prep', 75), ('det:art', 45), ('conj', 17), ('part', 10), ('qn', 2)]",0.12163265306122449
030325.cha,"[('prep', 63), ('det:art', 34), ('part', 15), ('conj', 14), ('qn', 1)]",0.09196234612599566
030408.cha,"[('prep', 76), ('det:art', 55), ('part', 22), ('conj', 11), ('qn', 3)]",0.1412859560067682
030422.cha,"[('prep', 60), ('det:art', 52), ('part', 10), ('conj', 6), ('qn', 1)]",0.11579892280071813
030506.cha,"[('prep', 50), ('det:art', 40), ('part', 17), ('conj', 11)]",0.10414827890556046
030517.cha,"[('prep', 108), ('det:art', 72), ('conj', 32), ('part', 22), ('qn', 3)]",0.13659942363112393
030604.cha,"[('prep', 46), ('det:art', 40), ('conj', 16), ('part', 14)]",0.12095933263816476
030617.cha,"[('prep', 61), ('det:art', 42), ('conj', 35), ('part', 12), ('qn', 1)]",0.13153310104529617
030701.cha,"[('prep', 65), ('det:art', 37), ('part', 21), ('conj', 18)]",0.11050156739811912
030722.cha,"[('prep', 58), ('det:art', 35), ('part', 23), ('conj', 16), ('qn', 1)]",0.12488262910798122
030810.cha,"[('prep', 83), ('det:art', 63), ('part', 30), ('conj', 30), ('qn', 2)]",0.12967581047381546
030826.cha,"[('prep', 72), ('det:art', 42), ('part', 22), ('conj', 17), ('qn', 1)]",0.09517923362175525
030909.cha,"[('prep', 57), ('det:art', 51), ('part', 25), ('conj', 19), ('qn', 1)]",0.10275352585627938
030923.cha,"[('prep', 63), ('det:art', 37), ('conj', 24), ('part', 14), ('qn', 3)]",0.1128
031007.cha,"[('prep', 70), ('det:art', 46), ('conj', 26), ('part', 22), ('qn', 4)]",0.12280701754385964
031023.cha,"[('prep', 71), ('det:art', 43), ('conj', 10), ('part', 10), ('qn', 2)]",0.12014134275618374
031106.cha,"[('prep', 53), ('det:art', 46), ('conj', 30), ('part', 22), ('qn', 1)]",0.10160427807486631
031120.cha,"[('prep', 56), ('det:art', 48), ('part', 19), ('conj', 18), ('qn', 9)]",0.09836065573770492
040008.cha,"[('det:art', 49), ('prep', 47), ('conj', 25), ('part', 20), ('qn', 4)]",0.09188846641318124
040025.cha,"[('prep', 74), ('det:art', 35), ('conj', 20), ('part', 10)]",0.11128903122497999
040119.cha,"[('prep', 93), ('det:art', 72), ('part', 27), ('conj', 25), ('qn', 5)]",0.11167002012072434
040213.cha,"[('prep', 49), ('det:art', 30), ('conj', 14), ('part', 6), ('qn', 2)]",0.11744186046511627
040220.cha,"[('det:art', 41), ('prep', 40), ('part', 21), ('conj', 11), ('qn', 1)]",0.10133333333333333
040307.cha,"[('prep', 82), ('det:art', 55), ('conj', 23), ('part', 19), ('qn', 2)]",0.13487332339791355
040321.cha,"[('prep', 40), ('conj', 36), ('det:art', 31), ('part', 19), ('qn', 2)]",0.0950965824665676
