File,Most Common Function Words,Function Word Proportion
010808.cha,"[('part', 6), ('det:art', 4), ('prep', 2)]",0.024793388429752067
011022.cha,"[('det:art', 33), ('prep', 24), ('conj', 17), ('part', 11)]",0.08118433619866285
011116.cha,"[('det:art', 13), ('part', 10), ('prep', 6), ('conj', 1)]",0.04504504504504504
020008.cha,"[('prep', 46), ('det:art', 36), ('part', 26), ('conj', 16), ('qn', 3)]",0.10717299578059072
020024.cha,"[('det:art', 75), ('part', 45), ('prep', 29), ('conj', 18), ('qn', 9)]",0.10238510762070971
020126.cha,"[('det:art', 68), ('prep', 60), ('part', 20), ('conj', 3)]",0.11936758893280633
020300.cha,"[('det:art', 42), ('prep', 34), ('part', 20), ('conj', 15), ('qn', 2)]",0.09955947136563877
020326.cha,"[('det:art', 71), ('part', 37), ('prep', 30), ('conj', 15)]",0.1119239209948793
020427.cha,"[('det:art', 86), ('prep', 53), ('part', 31), ('conj', 29), ('qn', 3)]",0.1286624203821656
020710.cha,"[('det:art', 69), ('prep', 37), ('part', 20), ('conj', 18)]",0.11241217798594848
020727.cha,"[('prep', 61), ('det:art', 53), ('conj', 17), ('part', 14), ('qn', 2)]",0.12816041848299914
021103.cha,"[('det:art', 75), ('prep', 60), ('conj', 41), ('part', 29), ('qn', 1)]",0.12866958151155528
021129.cha,"[('det:art', 83), ('prep', 70), ('conj', 33), ('part', 13)]",0.13100724160631994
030225.cha,"[('det:art', 87), ('prep', 82), ('part', 33), ('conj', 16), ('qn', 1)]",0.12897526501766785
