File,Most Common Function Words,Function Word Proportion
020119.cha,"[('det:art', 214), ('prep', 129), ('part', 44), ('conj', 24), ('qn', 2)]",0.2628898790579249
020126.cha,"[('det:art', 194), ('prep', 132), ('part', 48), ('conj', 21), ('qn', 5)]",0.21953896816684962
020203.cha,"[('det:art', 248), ('prep', 147), ('conj', 25), ('part', 25), ('qn', 1)]",0.23375262054507337
020210.cha,"[('det:art', 299), ('prep', 147), ('part', 49), ('conj', 17)]",0.20054837446141793
020217.cha,"[('det:art', 115), ('prep', 84), ('part', 18), ('conj', 4)]",0.1943711521547933
020226.cha,"[('det:art', 201), ('prep', 116), ('part', 38), ('conj', 4), ('qn', 2)]",0.20055555555555554
020300.cha,"[('det:art', 185), ('prep', 96), ('part', 44), ('qn', 6), ('conj', 5)]",0.2284160435078178
020307.cha,"[('det:art', 65), ('prep', 64), ('part', 25), ('conj', 1)]",0.1915945611866502
020314.cha,"[('det:art', 137), ('prep', 113), ('part', 31), ('conj', 6), ('qn', 3)]",0.18216080402010051
020321.cha,"[('det:art', 97), ('prep', 57), ('part', 24), ('qn', 11), ('conj', 7)]",0.12523961661341854
020613.cha,"[('det:art', 94), ('prep', 80), ('part', 46), ('conj', 9), ('qn', 1)]",0.13172966781214204
020620.cha,"[('det:art', 131), ('prep', 107), ('part', 31), ('conj', 8), ('qn', 2)]",0.16249271986022132
020627.cha,"[('prep', 82), ('det:art', 74), ('part', 28), ('conj', 10), ('qn', 4)]",0.12492113564668769
020711.cha,"[('det:art', 91), ('prep', 78), ('part', 20), ('conj', 12), ('qn', 1)]",0.17060810810810811
020718.cha,"[('prep', 103), ('det:art', 91), ('part', 32), ('conj', 24), ('qn', 2)]",0.1596958174904943
020725.cha,"[('prep', 113), ('det:art', 93), ('part', 37), ('qn', 14), ('conj', 12)]",0.15353881278538814
020801.cha,"[('det:art', 93), ('prep', 78), ('part', 27), ('conj', 6), ('qn', 3)]",0.16520351157222665
020808.cha,"[('prep', 89), ('det:art', 85), ('part', 20), ('conj', 2), ('qn', 1)]",0.173568281938326
020815.cha,"[('det:art', 96), ('prep', 78), ('part', 20), ('conj', 7), ('qn', 4)]",0.16545601291364004
020822.cha,"[('det:art', 128), ('prep', 95), ('part', 38), ('conj', 15), ('qn', 4)]",0.16184971098265896
020829.cha,"[('prep', 84), ('det:art', 81), ('part', 28), ('conj', 27), ('qn', 5)]",0.13744654856444716
020915.cha,"[('det:art', 110), ('prep', 72), ('part', 13), ('conj', 3), ('qn', 1)]",0.17066895368782162
021003.cha,"[('det:art', 95), ('prep', 62), ('part', 20), ('conj', 4), ('qn', 1)]",0.15028901734104047
021017.cha,"[('det:art', 119), ('prep', 71), ('conj', 17), ('part', 17), ('qn', 2)]",0.1549006168608636
021100.cha,"[('det:art', 147), ('prep', 97), ('part', 18), ('conj', 16), ('qn', 1)]",0.17492163009404388
021107.cha,"[('det:art', 161), ('prep', 134), ('conj', 27), ('part', 19)]",0.19363997728563317
021121.cha,"[('det:art', 114), ('prep', 104), ('part', 25), ('conj', 17), ('qn', 1)]",0.16937053861129137
030006.cha,"[('det:art', 171), ('prep', 113), ('part', 34), ('conj', 19), ('qn', 1)]",0.16187739463601533
030020.cha,"[('det:art', 119), ('prep', 88), ('part', 34), ('conj', 22), ('qn', 1)]",0.14873239436619717
030203.cha,"[('det:art', 200), ('prep', 186), ('part', 59), ('conj', 32), ('qn', 2)]",0.16949752300070772
030215.cha,"[('det:art', 138), ('prep', 81), ('part', 37), ('conj', 18), ('qn', 3)]",0.13843078460769614
030229.cha,"[('det:art', 173), ('prep', 144), ('part', 34), ('conj', 12)]",0.17106503298774742
030312.cha,"[('det:art', 138), ('prep', 111), ('conj', 25), ('part', 16), ('qn', 3)]",0.16304952698942682
