File,Most Common Function Words,Function Word Proportion
010005.cha,"[('det:art', 78), ('prep', 62), ('part', 23), ('conj', 17), ('qn', 2)]",0.10394060536836093
010110.cha,"[('det:art', 88), ('prep', 64), ('part', 29), ('conj', 24), ('qn', 3)]",0.11845102505694761
010214.cha,"[('det:art', 51), ('prep', 33), ('part', 9), ('conj', 6), ('qn', 3)]",0.10526315789473684
010228.cha,"[('prep', 31), ('det:art', 28), ('part', 15), ('conj', 5)]",0.09305064782096584
010318.cha,"[('det:art', 25), ('prep', 24), ('part', 21), ('conj', 8), ('qn', 1)]",0.08169596690796277
010418.cha,"[('det:art', 63), ('prep', 61), ('conj', 10), ('part', 8)]",0.10510732790525537
010604.cha,"[('det:art', 59), ('prep', 56), ('conj', 9), ('part', 3)]",0.08338804990151018
010715.cha,"[('det:art', 27), ('part', 17), ('prep', 15), ('conj', 6), ('qn', 3)]",0.06666666666666667
010903.cha,"[('det:art', 88), ('prep', 28), ('part', 13), ('conj', 9)]",0.09193870752831446
011007.cha,"[('det:art', 114), ('prep', 44), ('part', 21), ('conj', 10), ('qn', 2)]",0.10564159292035398
011113.cha,"[('det:art', 92), ('prep', 38), ('part', 23), ('conj', 6)]",0.13361344537815126
020102.cha,"[('det:art', 87), ('prep', 85), ('part', 20), ('conj', 13), ('qn', 7)]",0.10984455958549223
020206.cha,"[('det:art', 131), ('prep', 92), ('part', 42), ('conj', 11)]",0.13509544787077826
020305.cha,"[('det:art', 84), ('prep', 70), ('part', 35), ('conj', 22), ('qn', 2)]",0.12178387650085763
020415.cha,"[('det:art', 163), ('prep', 142), ('conj', 42), ('part', 30), ('qn', 1)]",0.16085106382978723
020512.cha,"[('det:art', 157), ('prep', 126), ('part', 41), ('conj', 33), ('qn', 2)]",0.14798021434460015
020610.cha,"[('det:art', 95), ('prep', 66), ('part', 38), ('conj', 14)]",0.12877871825876663
020707.cha,"[('prep', 109), ('det:art', 102), ('conj', 55), ('part', 17), ('qn', 2)]",0.13405456255879586
020805.cha,"[('prep', 113), ('det:art', 106), ('conj', 50), ('part', 29), ('qn', 1)]",0.13906976744186048
020916.cha,"[('det:art', 130), ('prep', 124), ('conj', 43), ('part', 22), ('qn', 5)]",0.135
021020.cha,"[('prep', 75), ('det:art', 46), ('conj', 28), ('part', 21), ('qn', 1)]",0.1306340718105424
021119.cha,"[('det:art', 129), ('prep', 79), ('conj', 65), ('part', 40), ('qn', 3)]",0.11690714021457639
030028.cha,"[('det:art', 126), ('prep', 116), ('conj', 69), ('part', 39), ('qn', 2)]",0.16176470588235295
030302.cha,"[('prep', 84), ('det:art', 76), ('part', 28), ('conj', 19), ('qn', 5)]",0.1178432462479155
030608.cha,"[('prep', 145), ('det:art', 113), ('conj', 65), ('part', 23), ('qn', 2)]",0.16322701688555347
030907.cha,"[('det:art', 156), ('prep', 129), ('part', 45), ('conj', 45), ('qn', 5)]",0.16521739130434782
030928.cha,"[('prep', 104), ('det:art', 75), ('conj', 37), ('part', 17), ('qn', 2)]",0.13552479815455595
040127.cha,"[('det:art', 183), ('prep', 151), ('conj', 105), ('part', 23), ('qn', 3)]",0.1423324150596878
040704.cha,"[('det:art', 125), ('prep', 118), ('conj', 98), ('part', 41), ('qn', 1)]",0.17190305206463197
041003.cha,"[('det:art', 168), ('prep', 92), ('part', 39), ('conj', 34), ('qn', 1)]",0.14804964539007093
050105.cha,"[('det:art', 113), ('prep', 110), ('conj', 56), ('part', 33), ('qn', 2)]",0.1493815413891532
050508.cha,"[('prep', 161), ('det:art', 127), ('conj', 60), ('part', 47), ('qn', 9)]",0.1478770131771596
051018.cha,"[('prep', 266), ('conj', 203), ('det:art', 168), ('part', 81), ('qn', 3)]",0.20218732473359508
060504.cha,"[('prep', 208), ('det:art', 196), ('conj', 82), ('part', 49), ('qn', 3)]",0.15644082582145974
061126.cha,"[('prep', 242), ('det:art', 197), ('conj', 71), ('part', 52), ('qn', 5)]",0.16819934737466627
