File,Most Common Function Words,Function Word Proportion
10002.cha,"[('prep', 44), ('det:art', 44), ('conj', 17), ('part', 14), ('qn', 1)]",0.11684518013631938
10002a.cha,"[('det:art', 6), ('prep', 5), ('part', 2)]",0.05909090909090909
10002b.cha,"[('det:art', 8), ('prep', 4), ('part', 3), ('conj', 2)]",0.07142857142857142
10023a.cha,"[('det:art', 23), ('prep', 16), ('conj', 6), ('part', 4)]",0.10560344827586207
10023b.cha,"[('det:art', 26), ('prep', 18), ('part', 6), ('conj', 4)]",0.11739130434782609
10116a.cha,"[('prep', 10), ('det:art', 7), ('conj', 1), ('part', 1)]",0.050666666666666665
10116b.cha,"[('det:art', 14), ('prep', 5), ('conj', 3), ('part', 2)]",0.05274725274725275
10128a.cha,"[('det:art', 10), ('prep', 7), ('part', 7), ('conj', 2), ('qn', 1)]",0.06683168316831684
10128b.cha,"[('det:art', 6), ('conj', 5), ('prep', 3)]",0.03910614525139665
10211a.cha,"[('prep', 13), ('det:art', 11), ('conj', 8), ('qn', 2), ('part', 2)]",0.09523809523809523
10211b.cha,"[('det:art', 25), ('prep', 19), ('conj', 4), ('part', 4), ('qn', 2)]",0.12080536912751678
10227a.cha,"[('prep', 7), ('det:art', 7), ('conj', 3), ('part', 2)]",0.06643356643356643
10227b.cha,"[('det:art', 9), ('part', 5), ('prep', 3), ('conj', 2)]",0.12101910828025478
10510a.cha,"[('prep', 10), ('det:art', 8), ('part', 2), ('conj', 1)]",0.08108108108108109
10510b.cha,"[('det:art', 13), ('prep', 10), ('conj', 5), ('part', 1)]",0.05979381443298969
10524a.cha,"[('prep', 18), ('det:art', 16), ('conj', 2), ('part', 2)]",0.09223300970873786
10524b.cha,"[('det:art', 26), ('prep', 11), ('conj', 3), ('part', 1)]",0.08453608247422681
10610a.cha,"[('det:art', 16), ('prep', 9), ('conj', 6), ('part', 4)]",0.08139534883720931
10610b.cha,"[('det:art', 7), ('prep', 7), ('part', 1)]",0.04043126684636118
10622a.cha,"[('det:art', 33), ('prep', 24), ('conj', 1), ('part', 1)]",0.11007462686567164
10622b.cha,"[('prep', 8), ('det:art', 8), ('conj', 1), ('part', 1)]",0.05521472392638037
10712a.cha,"[('det:art', 7), ('prep', 5), ('conj', 3), ('part', 1), ('qn', 1)]",0.06296296296296296
10712b.cha,"[('det:art', 11), ('prep', 5), ('part', 2), ('conj', 2)]",0.04048582995951417
10726b.cha,"[('det:art', 19), ('prep', 5)]",0.09561752988047809
