File,Most Common Function Words,Function Word Proportion
10613a.cha,"[('det:art', 6), ('prep', 5), ('conj', 3), ('part', 1)]",0.08982035928143713
10613b.cha,[],0
10703a.cha,[],0
10703b.cha,"[('det:art', 25), ('prep', 15), ('conj', 11), ('part', 4)]",0.09803921568627451
10713a.cha,"[('prep', 24), ('det:art', 13), ('conj', 7), ('part', 3), ('qn', 1)]",0.100418410041841
10723a.cha,"[('det:art', 20), ('conj', 9), ('prep', 8), ('part', 4)]",0.12386706948640483
10723b.cha,"[('det:art', 24), ('conj', 9), ('prep', 7), ('part', 6)]",0.13897280966767372
10815a.cha,"[('det:art', 4), ('part', 1), ('prep', 1)]",0.0160857908847185
10815b.cha,"[('part', 5), ('conj', 2), ('det:art', 2), ('qn', 2)]",0.044715447154471545
10829a.cha,"[('det:art', 10), ('conj', 6), ('prep', 4), ('part', 1)]",0.04133858267716536
10829b.cha,"[('det:art', 13), ('part', 7), ('prep', 2), ('conj', 2)]",0.044036697247706424
10912a.cha,"[('part', 6), ('det:art', 4), ('conj', 1)]",0.026128266033254157
10912b.cha,"[('part', 4), ('det:art', 2), ('qn', 2), ('prep', 1)]",0.028846153846153848
11017a.cha,"[('part', 9), ('det:art', 6), ('conj', 2), ('qn', 2), ('prep', 1)]",0.03424657534246575
11017b.cha,"[('det:art', 7), ('part', 2), ('prep', 1), ('conj', 1)]",0.018998272884283247
11102a.cha,"[('det:art', 13), ('prep', 11), ('part', 7), ('qn', 4), ('conj', 2)]",0.05754276827371695
11102b.cha,"[('det:art', 12), ('part', 8), ('prep', 7), ('conj', 6), ('qn', 1)]",0.06910569105691057
11113a.cha,"[('part', 31), ('det:art', 11), ('prep', 7), ('conj', 3), ('qn', 1)]",0.06098964326812428
11113b.cha,"[('part', 15), ('det:art', 10), ('prep', 9), ('conj', 5)]",0.039473684210526314
11118a.cha,"[('det:art', 14), ('prep', 9), ('conj', 7), ('part', 3)]",0.05536912751677853
11118b.cha,"[('det:art', 13), ('prep', 7), ('conj', 4), ('part', 3)]",0.0531496062992126
20012a.cha,"[('det:art', 20), ('conj', 10), ('prep', 9), ('part', 6)]",0.05821474773609314
20012b.cha,"[('part', 6), ('det:art', 4), ('conj', 1)]",0.028350515463917526
20025a.cha,"[('det:art', 12), ('part', 3), ('prep', 2), ('conj', 2)]",0.028831562974203338
