File,Most Common Function Words,Function Word Proportion
010919.cha,"[('prep', 16), ('det:art', 14), ('part', 4), ('conj', 1)]",0.08101851851851852
011003.cha,"[('det:art', 24), ('prep', 10), ('part', 4), ('conj', 3)]",0.08401639344262295
011017.cha,"[('prep', 26), ('det:art', 23), ('part', 8), ('conj', 3)]",0.08559201141226819
011101.cha,"[('det:art', 15), ('prep', 12), ('part', 11), ('conj', 1)]",0.04785276073619632
020000.cha,"[('det:art', 18), ('prep', 12), ('part', 5), ('conj', 5), ('qn', 1)]",0.06844741235392321
020014.cha,"[('det:art', 27), ('prep', 17), ('part', 17), ('conj', 2), ('qn', 2)]",0.07523148148148148
020028.cha,"[('prep', 31), ('det:art', 11), ('part', 5), ('qn', 4), ('conj', 1)]",0.06356968215158924
020116.cha,"[('prep', 29), ('det:art', 18), ('part', 10), ('conj', 2), ('qn', 2)]",0.07253269916765755
020125.cha,"[('prep', 26), ('det:art', 16), ('part', 10), ('conj', 6)]",0.06203208556149733
020209.cha,"[('prep', 37), ('det:art', 18), ('part', 11), ('conj', 1)]",0.09203296703296704
020222.cha,"[('det:art', 36), ('prep', 33), ('part', 5), ('conj', 2), ('qn', 1)]",0.10198675496688742
020306.cha,"[('det:art', 37), ('prep', 21), ('part', 6), ('conj', 1), ('qn', 1)]",0.09053497942386832
020320.cha,"[('prep', 30), ('det:art', 21), ('part', 8), ('qn', 1), ('conj', 1)]",0.08005249343832022
020404.cha,"[('det:art', 26), ('prep', 22), ('conj', 7), ('part', 3)]",0.10104529616724739
020418.cha,"[('det:art', 38), ('prep', 22), ('conj', 6), ('part', 3), ('qn', 1)]",0.09009009009009009
020501.cha,"[('det:art', 42), ('prep', 37), ('conj', 14), ('part', 12)]",0.109375
020515.cha,"[('det:art', 43), ('prep', 34), ('part', 7), ('conj', 7)]",0.11621966794380588
020529.cha,"[('det:art', 48), ('prep', 41), ('part', 10), ('conj', 8)]",0.11555075593952484
020612.cha,"[('prep', 57), ('det:art', 40), ('conj', 11), ('part', 4)]",0.09955555555555555
020627.cha,"[('prep', 52), ('det:art', 48), ('part', 16), ('conj', 12)]",0.10355987055016182
020711.cha,"[('prep', 26), ('det:art', 14), ('conj', 4), ('part', 2)]",0.08455882352941177
020725.cha,"[('det:art', 30), ('prep', 28), ('conj', 7), ('part', 5)]",0.08363201911589008
020809.cha,"[('det:art', 51), ('prep', 27), ('part', 8), ('conj', 5)]",0.11375
020822.cha,"[('det:art', 32), ('prep', 28), ('part', 7), ('qn', 4), ('conj', 3)]",0.08399545970488081
020912.cha,"[('det:art', 40), ('prep', 28), ('part', 6), ('conj', 3)]",0.09987029831387809
020927.cha,"[('prep', 27), ('det:art', 26), ('conj', 14), ('part', 10)]",0.08984830805134189
021010.cha,"[('det:art', 46), ('prep', 26), ('conj', 10), ('part', 7), ('qn', 2)]",0.09439834024896265
021024.cha,"[('prep', 53), ('det:art', 53), ('part', 15), ('conj', 5), ('qn', 1)]",0.10920034393809114
021107.cha,"[('prep', 41), ('det:art', 38), ('part', 13), ('conj', 4)]",0.10031347962382445
021124.cha,"[('det:art', 29), ('prep', 27), ('conj', 4), ('part', 3)]",0.10310965630114566
030014.cha,"[('det:art', 46), ('prep', 26), ('conj', 6), ('part', 5), ('qn', 2)]",0.08844953173777315
030100.cha,"[('det:art', 48), ('prep', 33), ('part', 7), ('conj', 7)]",0.08098891730605286
030114.cha,"[('prep', 32), ('det:art', 31), ('conj', 15), ('part', 10), ('qn', 1)]",0.07946428571428571
030125.cha,"[('prep', 44), ('det:art', 43), ('part', 11), ('conj', 7), ('qn', 1)]",0.09090909090909091
030209.cha,"[('det:art', 63), ('prep', 27), ('part', 12), ('conj', 7), ('qn', 3)]",0.09395973154362416
030223.cha,"[('det:art', 33), ('prep', 31), ('part', 9), ('conj', 4), ('qn', 1)]",0.08914285714285715
