File,Most Common Function Words,Function Word Proportion
10012a.cha,"[('det:art', 5), ('prep', 1)]",0.02926829268292683
10012b.cha,"[('det:art', 6), ('prep', 5), ('conj', 1)]",0.0547945205479452
10024a.cha,"[('det:art', 4), ('prep', 3), ('part', 2), ('conj', 1)]",0.055248618784530384
10024b.cha,"[('det:art', 10), ('conj', 4), ('prep', 3), ('part', 2), ('qn', 1)]",0.05115089514066496
10024c.cha,"[('prep', 13), ('det:art', 5), ('conj', 5), ('part', 2)]",0.06459948320413436
10024d.cha,"[('det:art', 10), ('conj', 9), ('prep', 8), ('part', 4)]",0.08333333333333333
10124a.cha,"[('det:art', 8), ('prep', 4), ('conj', 2)]",0.07865168539325842
10124b.cha,"[('det:art', 5), ('prep', 5), ('conj', 1)]",0.048034934497816595
10214a.cha,"[('prep', 5), ('det:art', 4), ('conj', 2)]",0.08029197080291971
10214b.cha,"[('det:art', 6), ('conj', 2), ('part', 2), ('prep', 2)]",0.07058823529411765
10226a.cha,"[('det:art', 9), ('prep', 9), ('conj', 4), ('part', 2)]",0.08823529411764706
10226b.cha,"[('prep', 6), ('det:art', 4), ('part', 3)]",0.05220883534136546
10323a.cha,"[('prep', 5), ('conj', 2), ('part', 1)]",0.038834951456310676
10323b.cha,"[('det:art', 8), ('prep', 7), ('conj', 3), ('part', 1)]",0.06188925081433225
10409a.cha,"[('prep', 9), ('det:art', 8), ('conj', 1), ('part', 1), ('qn', 1)]",0.08620689655172414
10409b.cha,"[('prep', 9), ('det:art', 3), ('conj', 3), ('part', 3)]",0.09278350515463918
10423a.cha,"[('det:art', 9), ('prep', 7), ('part', 3), ('conj', 3)]",0.08764940239043825
10423b.cha,"[('det:art', 10), ('conj', 2), ('prep', 2)]",0.08383233532934131
10508a.cha,"[('prep', 13), ('det:art', 9), ('part', 5), ('qn', 3), ('conj', 2)]",0.08421052631578947
10508b.cha,"[('prep', 10), ('det:art', 8), ('conj', 5), ('part', 2)]",0.10460251046025104
10512a.cha,"[('prep', 9), ('det:art', 3), ('conj', 2), ('part', 1)]",0.05555555555555555
10512b.cha,"[('prep', 2), ('det:art', 1), ('conj', 1)]",0.05555555555555555
10605a.cha,"[('part', 4), ('conj', 3), ('prep', 3), ('det:art', 1)]",0.05069124423963134
10605b.cha,"[('det:art', 6), ('prep', 4), ('conj', 3), ('part', 2)]",0.05474452554744526
10625a.cha,"[('prep', 10), ('det:art', 9), ('conj', 3), ('part', 2)]",0.09266409266409266
10625b.cha,"[('prep', 4)]",0.0425531914893617
10708a.cha,"[('det:art', 3), ('prep', 2)]",0.04132231404958678
10708b.cha,"[('prep', 4), ('det:art', 3), ('conj', 2), ('part', 1)]",0.05813953488372093
10722a.cha,"[('prep', 6), ('det:art', 6), ('conj', 1)]",0.046762589928057555
10722b.cha,"[('conj', 1), ('prep', 1)]",0.019801980198019802
10816a.cha,"[('det:art', 27), ('prep', 7), ('conj', 5), ('part', 2), ('qn', 1)]",0.07553956834532374
10816b.cha,"[('prep', 11), ('det:art', 8), ('conj', 3), ('part', 2)]",0.07792207792207792
10903a.cha,"[('prep', 14), ('det:art', 6), ('part', 4), ('conj', 1)]",0.08305647840531562
10903b.cha,"[('det:art', 4), ('prep', 3), ('conj', 3), ('part', 1)]",0.048034934497816595
11019a.cha,"[('prep', 4), ('det:art', 4), ('part', 1), ('conj', 1)]",0.03773584905660377
11019b.cha,"[('det:art', 9), ('conj', 5), ('prep', 5), ('part', 1)]",0.07194244604316546
11103a.cha,"[('det:art', 12), ('prep', 5), ('conj', 4), ('part', 1)]",0.04
11103b.cha,"[('prep', 5), ('det:art', 5), ('conj', 2)]",0.029197080291970802
11119a.cha,"[('det:art', 23), ('prep', 13), ('part', 5), ('conj', 3)]",0.09090909090909091
11119b.cha,"[('det:art', 18), ('prep', 12), ('conj', 9), ('part', 8), ('qn', 1)]",0.09090909090909091
20015a.cha,"[('det:art', 23), ('prep', 6), ('conj', 5), ('part', 1)]",0.09831460674157304
20015b.cha,"[('det:art', 8), ('prep', 8), ('conj', 2), ('part', 2)]",0.07326007326007326
20016a.cha,"[('prep', 16), ('det:art', 14), ('part', 4), ('conj', 2)]",0.0690978886756238
20016b.cha,"[('det:art', 18), ('conj', 7), ('prep', 4)]",0.09698996655518395
20210a.cha,"[('det:art', 6), ('prep', 3)]",0.018145161290322582
