File,Most Common Function Words,Function Word Proportion
010009.cha,"[('det:art', 31), ('prep', 24), ('part', 14), ('conj', 4)]",0.08093126385809313
010114.cha,"[('det:art', 33), ('prep', 24), ('part', 11), ('conj', 8)]",0.08296943231441048
010210.cha,"[('det:art', 46), ('prep', 28), ('part', 18), ('conj', 8), ('qn', 2)]",0.10461538461538461
010302.cha,"[('prep', 41), ('det:art', 25), ('part', 11), ('conj', 4), ('qn', 1)]",0.08532778355879292
010401.cha,"[('det:art', 22), ('prep', 22), ('part', 10), ('conj', 3)]",0.10516605166051661
010505.cha,"[('prep', 39), ('det:art', 37), ('part', 17), ('conj', 7)]",0.09551098376313276
010608.cha,"[('det:art', 63), ('prep', 52), ('part', 19), ('conj', 17), ('qn', 1)]",0.0880648899188876
010701.cha,"[('det:art', 60), ('prep', 39), ('conj', 16), ('part', 14), ('qn', 6)]",0.08928571428571429
010808.cha,"[('det:art', 36), ('prep', 27), ('part', 13), ('conj', 8), ('qn', 1)]",0.0776255707762557
010906.cha,"[('det:art', 46), ('prep', 38), ('conj', 14), ('part', 11), ('qn', 1)]",0.09717314487632508
011000.cha,"[('det:art', 19), ('prep', 15), ('conj', 10), ('part', 9), ('qn', 1)]",0.05009276437847866
011107.cha,"[('det:art', 26), ('prep', 18), ('conj', 14), ('part', 11)]",0.07967667436489607
011125.cha,"[('prep', 33), ('det:art', 18), ('conj', 8), ('part', 5), ('qn', 1)]",0.06756756756756757
020020.cha,"[('det:art', 51), ('prep', 34), ('conj', 8), ('part', 5), ('qn', 4)]",0.07894736842105263
020208.cha,"[('det:art', 50), ('prep', 24), ('part', 12), ('conj', 8), ('qn', 1)]",0.07929883138564274
020301.cha,"[('det:art', 39), ('prep', 27), ('conj', 15), ('part', 12), ('qn', 2)]",0.07274119448698316
020405.cha,"[('det:art', 32), ('prep', 30), ('conj', 20), ('part', 12), ('qn', 2)]",0.06282722513089005
020429.cha,"[('det:art', 60), ('prep', 37), ('part', 27), ('conj', 17), ('qn', 1)]",0.09549428379287156
020603.cha,"[('det:art', 62), ('prep', 46), ('conj', 22), ('part', 16), ('qn', 1)]",0.09090909090909091
020704.cha,"[('det:art', 72), ('part', 48), ('prep', 47), ('conj', 23), ('qn', 2)]",0.12030075187969924
020729.cha,"[('det:art', 76), ('prep', 39), ('part', 30), ('conj', 29)]",0.0940032414910859
020907.cha,"[('prep', 88), ('det:art', 79), ('part', 48), ('conj', 26)]",0.11597690086621752
021001.cha,"[('det:art', 74), ('prep', 43), ('part', 27), ('conj', 22), ('qn', 4)]",0.07089241034195162
021027.cha,"[('part', 100), ('det:art', 96), ('prep', 92), ('conj', 39), ('qn', 1)]",0.11705924339757316
021128.cha,"[('det:art', 100), ('prep', 57), ('part', 51), ('conj', 40)]",0.10222588623248145
030200.cha,"[('prep', 164), ('det:art', 130), ('part', 85), ('conj', 39), ('qn', 6)]",0.15709522045201926
030302.cha,"[('prep', 115), ('det:art', 95), ('part', 36), ('conj', 33)]",0.1225296442687747
030410.cha,"[('prep', 103), ('det:art', 90), ('conj', 52), ('part', 44), ('qn', 4)]",0.14569865738438587
030511.cha,"[('prep', 147), ('det:art', 133), ('part', 45), ('conj', 39)]",0.15502555366269166
030610.cha,"[('prep', 54), ('det:art', 42), ('conj', 21), ('part', 16)]",0.11822222222222223
030708.cha,"[('det:art', 141), ('prep', 72), ('part', 35), ('conj', 22), ('qn', 3)]",0.14
030815.cha,"[('det:art', 75), ('prep', 56), ('part', 30), ('conj', 23), ('qn', 1)]",0.11540860885839052
031000.cha,"[('prep', 95), ('det:art', 62), ('conj', 57), ('part', 35), ('qn', 1)]",0.1187648456057007
031115.cha,"[('prep', 104), ('det:art', 101), ('part', 37), ('conj', 34), ('qn', 2)]",0.13365384615384615
040124.cha,"[('prep', 91), ('det:art', 87), ('part', 33), ('conj', 13), ('qn', 1)]",0.09702457956015524
040329.cha,"[('prep', 104), ('det:art', 98), ('conj', 49), ('part', 31)]",0.13434969032872796
040620.cha,"[('prep', 147), ('det:art', 128), ('conj', 87), ('part', 29), ('qn', 3)]",0.13007593265103995
040907.cha,"[('prep', 142), ('det:art', 84), ('part', 32), ('conj', 29), ('qn', 4)]",0.13553795994410806
041111.cha,"[('det:art', 71), ('conj', 65), ('prep', 58), ('part', 21), ('qn', 4)]",0.12607944732297063
050413.cha,"[('det:art', 100), ('prep', 83), ('conj', 35), ('part', 19), ('qn', 1)]",0.13530415008527572
050926.cha,"[('det:art', 126), ('prep', 100), ('conj', 45), ('part', 35)]",0.14746987951807228
060328.cha,"[('prep', 109), ('det:art', 59), ('conj', 34), ('part', 18), ('qn', 3)]",0.1319526627218935
