File,Most Common Function Words,Function Word Proportion
01117a.cha,"[('det:art', 14), ('prep', 13), ('part', 10), ('conj', 4), ('qn', 1)]",0.10047846889952153
01117b.cha,"[('prep', 14), ('det:art', 12), ('conj', 6), ('part', 5), ('qn', 1)]",0.09313725490196079
10014a.cha,"[('det:art', 6), ('conj', 2), ('prep', 2), ('part', 1)]",0.052132701421800945
10014b.cha,"[('prep', 3), ('det:art', 2), ('conj', 1)]",0.06741573033707865
10026a.cha,"[('part', 16), ('det:art', 10), ('prep', 7), ('conj', 2)]",0.11627906976744186
10026b.cha,"[('det:art', 32), ('prep', 17), ('part', 13), ('conj', 10)]",0.10682492581602374
10110a.cha,"[('det:art', 26), ('prep', 7), ('conj', 5), ('part', 4)]",0.09859154929577464
10110b.cha,"[('prep', 18), ('det:art', 14), ('part', 4), ('conj', 4)]",0.09237875288683603
10124a.cha,"[('conj', 4), ('part', 3), ('det:art', 3), ('prep', 3)]",0.07428571428571429
10124b.cha,"[('prep', 14), ('det:art', 12), ('part', 3), ('conj', 1), ('qn', 1)]",0.0792838874680307
10208a.cha,"[('prep', 21), ('det:art', 18), ('conj', 7), ('part', 7), ('qn', 1)]",0.08359133126934984
10208b.cha,"[('det:art', 13), ('prep', 4), ('part', 1), ('conj', 1)]",0.1043956043956044
10323a.cha,"[('det:art', 34), ('part', 7), ('conj', 6), ('prep', 4), ('qn', 1)]",0.07796101949025487
10323b.cha,"[('prep', 15), ('det:art', 13), ('conj', 4), ('part', 2)]",0.0670611439842209
10407a.cha,"[('det:art', 12), ('prep', 9), ('conj', 6), ('part', 5)]",0.065439672801636
10407b.cha,"[('det:art', 11), ('part', 9), ('prep', 6), ('conj', 2)]",0.059957173447537475
10421a.cha,"[('det:art', 16), ('prep', 9), ('part', 4), ('conj', 4), ('qn', 1)]",0.06692913385826772
10421b.cha,"[('prep', 16), ('det:art', 14), ('part', 6), ('conj', 2), ('qn', 2)]",0.08097165991902834
10505a.cha,"[('det:art', 19), ('prep', 16), ('conj', 8), ('part', 6)]",0.11448598130841121
10505b.cha,"[('det:art', 12), ('part', 11), ('prep', 7), ('conj', 6), ('qn', 1)]",0.08096280087527352
10525a.cha,"[('prep', 4), ('part', 3), ('det:art', 3), ('conj', 2)]",0.040955631399317405
10525b.cha,"[('det:art', 18), ('part', 14), ('prep', 9), ('conj', 2)]",0.0766488413547237
10609a.cha,"[('det:art', 23), ('prep', 8), ('part', 6), ('conj', 4), ('qn', 1)]",0.07460035523978685
10609b.cha,"[('prep', 24), ('det:art', 24), ('part', 6), ('conj', 6)]",0.10067114093959731
10623a.cha,"[('part', 10), ('conj', 6), ('det:art', 2)]",0.06474820143884892
10623b.cha,"[('det:art', 22), ('conj', 11), ('prep', 7), ('part', 6)]",0.11764705882352941
10708a.cha,"[('det:art', 21), ('prep', 11), ('part', 5), ('conj', 3), ('qn', 3)]",0.0735042735042735
10708b.cha,"[('prep', 22), ('det:art', 21), ('part', 19), ('conj', 5)]",0.09696092619392185
10727a.cha,"[('part', 17), ('det:art', 9), ('prep', 8)]",0.07888631090487239
10727b.cha,"[('prep', 11), ('det:art', 10), ('part', 10), ('conj', 5)]",0.06779661016949153
10811a.cha,"[('det:art', 10), ('part', 3), ('prep', 3)]",0.04040404040404041
10811b.cha,"[('det:art', 41), ('part', 12), ('conj', 10), ('prep', 3), ('qn', 2)]",0.09340659340659341
10901a.cha,"[('det:art', 21), ('prep', 17), ('part', 11), ('qn', 4), ('conj', 2)]",0.04526748971193416
10901b.cha,[],0
10912a.cha,"[('part', 10), ('det:art', 10), ('prep', 6), ('qn', 1), ('conj', 1)]",0.043076923076923075
10912b.cha,"[('det:art', 21), ('conj', 6), ('qn', 5), ('part', 5), ('prep', 4)]",0.05702364394993046
11004a.cha,"[('det:art', 24), ('part', 22), ('prep', 10), ('conj', 6)]",0.09393939393939393
11004b.cha,"[('det:art', 32), ('prep', 14), ('part', 10)]",0.08127721335268505
11014a.cha,"[('det:art', 29), ('prep', 10), ('conj', 10), ('part', 4), ('qn', 3)]",0.10053859964093358
11014b.cha,"[('prep', 25), ('det:art', 20), ('conj', 12), ('part', 9), ('qn', 6)]",0.09549071618037135
11019a.cha,"[('det:art', 45), ('prep', 18), ('conj', 13), ('part', 12)]",0.08721506442021804
11019b.cha,[],0
11102a.cha,"[('det:art', 66), ('prep', 24), ('part', 13), ('conj', 7), ('qn', 1)]",0.0893719806763285
11102b.cha,[],0
11128a.cha,"[('det:art', 84), ('prep', 44), ('part', 13), ('qn', 7), ('conj', 4)]",0.12199036918138041
11128b.cha,[],0
20027a.cha,"[('det:art', 36), ('prep', 14), ('part', 9)]",0.08082191780821918
20027b.cha,"[('det:art', 46), ('part', 10), ('prep', 8), ('conj', 4)]",0.09784172661870504
20111a.cha,"[('det:art', 58), ('prep', 22), ('part', 12), ('conj', 9), ('qn', 3)]",0.11279826464208242
20111b.cha,"[('det:art', 66), ('prep', 14), ('conj', 9), ('part', 7), ('qn', 1)]",0.10104166666666667
20309a.cha,"[('det:art', 80), ('prep', 39), ('part', 21), ('conj', 10)]",0.14734774066797643
20309b.cha,"[('det:art', 35), ('prep', 20), ('conj', 9), ('part', 6)]",0.07172131147540983
20324a.cha,"[('det:art', 68), ('prep', 35), ('part', 22), ('conj', 15), ('qn', 1)]",0.1309192200557103
20324b.cha,"[('det:art', 87), ('prep', 45), ('part', 14), ('conj', 6), ('qn', 4)]",0.11972371450498849
20408a.cha,"[('det:art', 99), ('prep', 47), ('part', 13), ('conj', 6), ('qn', 1)]",0.17792068595927116
20408b.cha,"[('det:art', 70), ('prep', 43), ('conj', 10), ('part', 10)]",0.12702960840496658
20422a.cha,"[('det:art', 55), ('prep', 39), ('part', 19), ('conj', 7), ('qn', 1)]",0.11245353159851301
20422b.cha,"[('det:art', 65), ('prep', 31), ('part', 22), ('conj', 5)]",0.11759082217973231
20506a.cha,"[('det:art', 72), ('prep', 29), ('part', 24), ('conj', 11)]",0.15195530726256984
20506b.cha,"[('det:art', 67), ('prep', 49), ('conj', 17), ('part', 15)]",0.1455260570304818
20520a.cha,"[('det:art', 49), ('prep', 30), ('part', 13), ('conj', 9)]",0.13049095607235142
20520b.cha,"[('det:art', 62), ('prep', 25), ('part', 17), ('conj', 9)]",0.12899543378995434
20603a.cha,"[('det:art', 57), ('prep', 35), ('part', 13), ('conj', 13), ('qn', 2)]",0.15810276679841898
20603b.cha,"[('det:art', 55), ('prep', 23), ('conj', 13), ('part', 12)]",0.14325452016689846
20617a.cha,"[('det:art', 77), ('prep', 26), ('conj', 19), ('part', 11), ('qn', 2)]",0.15481651376146788
20617b.cha,"[('det:art', 88), ('prep', 56), ('conj', 18), ('part', 15), ('qn', 3)]",0.18442622950819673
20703a.cha,"[('det:art', 72), ('prep', 48), ('part', 13), ('conj', 10), ('qn', 7)]",0.15706806282722513
20703b.cha,"[('det:art', 84), ('prep', 27), ('conj', 19), ('part', 12), ('qn', 4)]",0.14455445544554454
20728a.cha,"[('det:art', 52), ('prep', 40), ('part', 19), ('conj', 15), ('qn', 3)]",0.11748633879781421
20728b.cha,"[('det:art', 62), ('part', 21), ('prep', 19), ('conj', 17), ('qn', 2)]",0.13474387527839643
20812a.cha,"[('det:art', 43), ('prep', 21), ('part', 12), ('conj', 10), ('qn', 1)]",0.11917808219178082
20812b.cha,"[('det:art', 60), ('prep', 30), ('part', 14), ('conj', 7), ('qn', 1)]",0.11510791366906475
20825a.cha,"[('det:art', 79), ('prep', 50), ('part', 28), ('conj', 8), ('qn', 4)]",0.16439688715953307
20825b.cha,"[('det:art', 88), ('prep', 58), ('part', 32), ('conj', 12), ('qn', 2)]",0.1549636803874092
20916a.cha,"[('prep', 79), ('det:art', 76), ('part', 30), ('conj', 27), ('qn', 8)]",0.16164584864070536
20916b.cha,"[('det:art', 55), ('prep', 52), ('conj', 26), ('part', 25), ('qn', 6)]",0.12832550860719874
21001a.cha,"[('det:art', 37), ('prep', 19), ('part', 11), ('qn', 8), ('conj', 5)]",0.12269938650306748
21001b.cha,"[('det:art', 47), ('prep', 33), ('qn', 15), ('conj', 11), ('part', 8)]",0.13902439024390245
21012a.cha,"[('det:art', 69), ('prep', 47), ('conj', 21), ('part', 12), ('qn', 3)]",0.13818181818181818
21012b.cha,"[('det:art', 54), ('prep', 48), ('part', 28), ('conj', 18), ('qn', 6)]",0.13275862068965516
21015a.cha,"[('det:art', 58), ('prep', 39), ('part', 34), ('conj', 17), ('qn', 8)]",0.1518987341772152
21015b.cha,"[('det:art', 56), ('prep', 49), ('part', 20), ('conj', 16), ('qn', 15)]",0.16578108395324123
30003a.cha,"[('prep', 48), ('det:art', 43), ('conj', 20), ('part', 16), ('qn', 2)]",0.15158636897767333
30003b.cha,"[('det:art', 28), ('prep', 26), ('qn', 9), ('conj', 8), ('part', 7)]",0.10077519379844961
