File,Most Common Function Words,Function Word Proportion
010600a.cha,"[('comp', 82), ('det:art', 63), ('qn', 26), ('mod', 9), ('prep', 7), ('part', 7), ('cop', 5), ('aux', 4), ('inf', 1), ('coord', 1)]",0.10950854700854701
010600b.cha,"[('det:art', 44), ('part', 16), ('comp', 15), ('mod', 11), ('cop', 10), ('prep', 9), ('qn', 7), ('aux', 4), ('coord', 1)]",0.09069767441860466
010700a.cha,"[('det:art', 40), ('comp', 15), ('qn', 6), ('prep', 5), ('part', 5), ('cop', 5), ('aux', 2), ('mod', 2)]",0.10666666666666667
010700b.cha,"[('det:art', 37), ('comp', 30), ('qn', 19), ('part', 16), ('prep', 11), ('aux', 2), ('inf', 2), ('coord', 2), ('mod', 1), ('cop', 1)]",0.0764371446620341
010800.cha,"[('det:art', 71), ('comp', 54), ('part', 36), ('prep', 23), ('qn', 13), ('cop', 7), ('aux', 7), ('mod', 7), ('coord', 6), ('conj', 2)]",0.10590440487347703
010900a.cha,"[('part', 44), ('det:art', 31), ('comp', 31), ('prep', 23), ('qn', 21), ('mod', 9), ('cop', 5), ('inf', 2), ('aux', 1)]",0.09483248154457695
010900b.cha,"[('part', 66), ('comp', 38), ('prep', 29), ('qn', 21), ('det:art', 18), ('cop', 15), ('mod', 7), ('inf', 5), ('aux', 4), ('coord', 1)]",0.11936805149210064
010900c.cha,"[('det:art', 120), ('prep', 119), ('part', 89), ('comp', 89), ('qn', 46), ('mod', 26), ('cop', 17), ('inf', 10), ('coord', 3), ('aux', 3)]",0.1549421193232413
011000a.cha,"[('det:art', 72), ('prep', 62), ('comp', 44), ('part', 44), ('qn', 18), ('cop', 7), ('aux', 6), ('mod', 6), ('inf', 6), ('coord', 4), ('conj', 1)]",0.13670886075949368
011000b.cha,"[('det:art', 86), ('prep', 83), ('comp', 66), ('part', 37), ('qn', 28), ('mod', 16), ('cop', 16), ('inf', 11), ('coord', 8), ('aux', 1)]",0.16785884597043396
011100a.cha,"[('prep', 49), ('det:art', 49), ('comp', 33), ('qn', 30), ('part', 29), ('cop', 17), ('mod', 15), ('inf', 7), ('aux', 5), ('coord', 5), ('conj', 1)]",0.14084507042253522
011100b.cha,"[('prep', 92), ('part', 62), ('det:art', 55), ('comp', 46), ('qn', 42), ('mod', 34), ('coord', 15), ('conj', 11), ('cop', 7), ('inf', 2), ('aux', 1)]",0.13922610015174508
020000a.cha,"[('prep', 62), ('det:art', 58), ('part', 47), ('comp', 36), ('cop', 24), ('coord', 20), ('mod', 19), ('aux', 19), ('qn', 13), ('conj', 12), ('inf', 2)]",0.16377952755905512
020000b.cha,"[('det:art', 89), ('prep', 64), ('part', 38), ('mod', 35), ('qn', 23), ('comp', 18), ('cop', 15), ('coord', 14), ('inf', 8), ('conj', 7), ('aux', 5)]",0.170995670995671
020100a.cha,"[('prep', 126), ('det:art', 102), ('mod', 81), ('part', 69), ('qn', 45), ('coord', 44), ('cop', 36), ('conj', 29), ('comp', 26), ('aux', 15), ('inf', 9)]",0.18725868725868725
020100b.cha,"[('det:art', 114), ('prep', 100), ('part', 75), ('coord', 55), ('qn', 54), ('mod', 37), ('cop', 30), ('inf', 22), ('conj', 16), ('comp', 15), ('aux', 8)]",0.19345347554247885
020200a.cha,"[('prep', 155), ('det:art', 142), ('part', 98), ('qn', 85), ('coord', 80), ('cop', 58), ('comp', 36), ('mod', 33), ('conj', 23), ('inf', 15), ('aux', 11)]",0.19538093973984602
020200b.cha,"[('prep', 131), ('det:art', 92), ('part', 85), ('coord', 63), ('cop', 56), ('qn', 48), ('mod', 42), ('comp', 28), ('aux', 27), ('inf', 21), ('conj', 10)]",0.18755832037325038
020300a.cha,"[('det:art', 104), ('prep', 91), ('mod', 79), ('cop', 77), ('part', 64), ('qn', 46), ('coord', 32), ('inf', 26), ('comp', 21), ('aux', 20), ('conj', 19)]",0.20947901591895804
020300b.cha,"[('det:art', 89), ('prep', 67), ('cop', 55), ('part', 42), ('qn', 36), ('mod', 33), ('inf', 21), ('comp', 16), ('aux', 15), ('coord', 13), ('conj', 3)]",0.19796954314720813
