File,Most Common Function Words,Function Word Proportion
020305.cha,"[('det:art', 41), ('cop', 14), ('prep', 6), ('mod', 4), ('comp', 3), ('conj', 1), ('coord', 1)]",0.20958083832335328
020307.cha,"[('det:art', 75), ('cop', 17), ('inf', 9), ('part', 7), ('comp', 7), ('mod', 4), ('prep', 3), ('qn', 3), ('aux', 3), ('coord', 1)]",0.14878892733564014
020319.cha,"[('det:art', 46), ('cop', 36), ('comp', 23), ('part', 21), ('prep', 10), ('mod', 7), ('aux', 5), ('qn', 4), ('coord', 2), ('conj', 1), ('inf', 1)]",0.13817537643932684
020322.cha,"[('cop', 8), ('det:art', 6), ('mod', 6), ('part', 5), ('aux', 4), ('prep', 4), ('inf', 3), ('comp', 3), ('qn', 1)]",0.10582010582010581
020326.cha,"[('cop', 14), ('part', 11), ('mod', 10), ('prep', 10), ('det:art', 9), ('inf', 4), ('aux', 4), ('comp', 2), ('qn', 1)]",0.12264150943396226
020328.cha,"[('det:art', 29), ('part', 19), ('cop', 18), ('prep', 12), ('aux', 5), ('comp', 5), ('coord', 5), ('inf', 1), ('mod', 1)]",0.13929618768328444
020410.cha,"[('cop', 16), ('prep', 11), ('part', 11), ('mod', 10), ('det:art', 9), ('qn', 8), ('aux', 4), ('coord', 3), ('comp', 2), ('inf', 1)]",0.09003601440576231
020412.cha,"[('det:art', 35), ('part', 18), ('prep', 13), ('mod', 12), ('cop', 6), ('coord', 4), ('aux', 3), ('inf', 3), ('qn', 1), ('conj', 1)]",0.09257473481195758
020417.cha,"[('det:art', 30), ('mod', 11), ('prep', 10), ('cop', 9), ('part', 7), ('inf', 5), ('qn', 3), ('conj', 2), ('aux', 2), ('coord', 1), ('comp', 1)]",0.12538699690402477
020419.cha,"[('det:art', 43), ('cop', 35), ('part', 14), ('prep', 14), ('mod', 13), ('aux', 8), ('qn', 7), ('inf', 3), ('comp', 2), ('conj', 2), ('coord', 1)]",0.11460855528652139
020426.cha,"[('det:art', 20), ('prep', 11), ('cop', 10), ('mod', 9), ('part', 7), ('qn', 6), ('aux', 5), ('inf', 5), ('comp', 2), ('conj', 1), ('coord', 1)]",0.0941320293398533
020507.cha,"[('cop', 57), ('det:art', 48), ('part', 10), ('prep', 7), ('aux', 3), ('coord', 3), ('conj', 2), ('mod', 2), ('inf', 1)]",0.14164004259850904
020515.cha,"[('part', 13), ('cop', 13), ('det:art', 13), ('qn', 7), ('mod', 6), ('prep', 5), ('aux', 4), ('coord', 3)]",0.08132147395171538
020525.cha,"[('part', 8), ('prep', 7), ('mod', 7), ('aux', 4), ('cop', 4), ('det:art', 3), ('comp', 2), ('inf', 1), ('coord', 1), ('conj', 1)]",0.07251908396946564
020530.cha,"[('det:art', 31), ('prep', 18), ('cop', 8), ('mod', 6), ('part', 5), ('comp', 3), ('qn', 2), ('aux', 2), ('conj', 1)]",0.09245742092457421
020604.cha,"[('cop', 16), ('det:art', 14), ('part', 6), ('mod', 6), ('qn', 5), ('aux', 5), ('comp', 4), ('prep', 2)]",0.11507936507936507
020613.cha,"[('cop', 43), ('det:art', 42), ('part', 21), ('prep', 15), ('aux', 12), ('mod', 11), ('comp', 7), ('qn', 5), ('conj', 4), ('coord', 2), ('inf', 1)]",0.12665112665112666
020620.cha,"[('det:art', 34), ('part', 21), ('prep', 15), ('cop', 12), ('mod', 8), ('qn', 5), ('comp', 5), ('aux', 5), ('coord', 2), ('conj', 1)]",0.07686832740213523
020630.cha,"[('mod', 4), ('det:art', 2), ('qn', 2), ('prep', 1)]",0.033707865168539325
020705.cha,"[('det:art', 17), ('cop', 11), ('part', 11), ('mod', 7), ('qn', 5), ('prep', 5), ('aux', 3), ('comp', 2), ('conj', 1), ('inf', 1)]",0.07924528301886792
020712.cha,"[('det:art', 31), ('prep', 23), ('part', 14), ('cop', 13), ('qn', 13), ('mod', 11), ('aux', 4), ('inf', 3), ('coord', 3), ('comp', 1), ('conj', 1)]",0.10025706940874037
020718.cha,"[('part', 7), ('aux', 6), ('det:art', 5), ('prep', 4), ('inf', 4), ('mod', 3), ('qn', 3), ('conj', 2), ('cop', 2)]",0.07072691552062868
020728.cha,"[('prep', 14), ('det:art', 13), ('comp', 12), ('cop', 10), ('part', 9), ('mod', 8), ('inf', 7), ('aux', 6), ('qn', 3), ('conj', 2), ('coord', 2)]",0.1011764705882353
020802.cha,"[('prep', 18), ('part', 18), ('det:art', 15), ('cop', 13), ('aux', 10), ('mod', 7), ('comp', 6), ('qn', 5), ('conj', 1)]",0.09577754891864057
020825a.cha,"[('det:art', 39), ('mod', 8), ('part', 6), ('comp', 5), ('prep', 4), ('cop', 3)]",0.07840772014475271
020825b.cha,"[('prep', 48), ('det:art', 23), ('part', 13), ('coord', 11), ('qn', 10), ('comp', 8), ('cop', 5), ('conj', 1), ('aux', 1), ('mod', 1)]",0.09557661927330174
020900.cha,"[('det:art', 25), ('prep', 22), ('part', 21), ('mod', 15), ('cop', 7), ('aux', 5), ('qn', 4), ('inf', 3), ('conj', 3), ('coord', 1)]",0.13554987212276215
020906.cha,"[('mod', 15), ('cop', 13), ('det:art', 12), ('prep', 7), ('comp', 6), ('part', 5), ('qn', 5), ('aux', 3), ('inf', 1)]",0.06285178236397748
020914.cha,"[('det:art', 29), ('mod', 20), ('prep', 19), ('cop', 12), ('part', 7), ('qn', 6), ('inf', 6), ('coord', 5), ('aux', 4), ('comp', 4), ('conj', 3)]",0.12994350282485875
020920.cha,"[('det:art', 36), ('mod', 31), ('prep', 30), ('cop', 21), ('part', 10), ('qn', 9), ('comp', 8), ('inf', 5), ('aux', 3), ('coord', 1), ('conj', 1)]",0.0884703196347032
020929.cha,"[('det:art', 18), ('cop', 15), ('part', 12), ('mod', 10), ('prep', 9), ('qn', 7), ('aux', 2), ('coord', 2), ('comp', 2), ('inf', 2), ('conj', 1)]",0.11594202898550725
021005.cha,"[('mod', 27), ('det:art', 27), ('prep', 25), ('cop', 23), ('comp', 12), ('part', 6), ('coord', 5), ('inf', 4), ('qn', 3), ('aux', 1)]",0.11000827129859388
021011.cha,"[('cop', 20), ('part', 14), ('prep', 12), ('det:art', 11), ('comp', 8), ('aux', 4), ('mod', 4), ('qn', 3), ('coord', 2), ('inf', 2), ('conj', 1)]",0.12423312883435583
