File,Most Common Function Words,Function Word Proportion
020305.ipcore.cex,"[('det:art', 23), ('mod', 1), ('prep', 1)]",0.1773049645390071
020307.ipcore.cex,"[('det:art', 22), ('qn', 1), ('part', 1)]",0.1643835616438356
020319.ipcore.cex,"[('det:art', 5), ('part', 2), ('cop', 2), ('prep', 1)]",0.07874015748031496
020322.ipcore.cex,"[('cop', 2), ('part', 2), ('prep', 2), ('det:art', 1), ('aux', 1), ('comp', 1)]",0.06818181818181818
020326.ipcore.cex,"[('det:art', 3), ('cop', 3), ('part', 2), ('prep', 1)]",0.06818181818181818
020328.ipcore.cex,"[('det:art', 10), ('part', 1), ('cop', 1), ('comp', 1), ('coord', 1)]",0.1076923076923077
020410.ipcore.cex,"[('det:art', 1), ('coord', 1), ('prep', 1), ('qn', 1)]",0.030534351145038167
020412.ipcore.cex,"[('det:art', 5), ('part', 4), ('prep', 3), ('aux', 1), ('coord', 1)]",0.10071942446043165
020417.ipcore.cex,"[('det:art', 7), ('conj', 1), ('part', 1)]",0.06818181818181818
020419.ipcore.cex,"[('det:art', 5), ('prep', 1), ('qn', 1), ('mod', 1), ('part', 1), ('coord', 1)]",0.072992700729927
020426.ipcore.cex,"[('prep', 4), ('det:art', 3)]",0.05384615384615385
020507.ipcore.cex,"[('cop', 1), ('det:art', 1), ('part', 1)]",0.022058823529411766
020515.ipcore.cex,"[('qn', 2), ('part', 1), ('det:art', 1)]",0.028985507246376812
020525.ipcore.cex,"[('mod', 2), ('part', 1), ('comp', 1), ('coord', 1), ('det:art', 1)]",0.0410958904109589
020530.ipcore.cex,"[('det:art', 8), ('prep', 5), ('mod', 2), ('part', 2), ('conj', 1)]",0.13432835820895522
020604.ipcore.cex,"[('qn', 2), ('det:art', 2), ('cop', 1)]",0.04032258064516129
020613.ipcore.cex,"[('det:art', 3), ('part', 2), ('qn', 2), ('mod', 1), ('prep', 1)]",0.06766917293233082
020620.ipcore.cex,"[('det:art', 5), ('prep', 2)]",0.04861111111111111
020630.ipcore.cex,"[('mod', 1), ('prep', 1), ('qn', 1)]",0.02142857142857143
020705.ipcore.cex,"[('det:art', 3), ('qn', 1), ('comp', 1), ('conj', 1), ('prep', 1), ('mod', 1), ('cop', 1)]",0.06818181818181818
020712.ipcore.cex,"[('det:art', 4), ('qn', 4), ('prep', 3), ('cop', 2)]",0.08227848101265822
020718.ipcore.cex,"[('qn', 1), ('conj', 1)]",0.015503875968992248
020728.ipcore.cex,"[('prep', 3), ('part', 1), ('qn', 1), ('cop', 1), ('conj', 1), ('comp', 1), ('mod', 1)]",0.06206896551724138
020802.ipcore.cex,"[('qn', 3), ('prep', 3), ('conj', 1), ('det:art', 1), ('comp', 1)]",0.06206896551724138
020825a.ipcore.cex,"[('det:art', 11), ('part', 3), ('mod', 3), ('cop', 1)]",0.12
020825b.ipcore.cex,"[('qn', 3), ('part', 3), ('cop', 2), ('prep', 2), ('aux', 1), ('comp', 1), ('coord', 1), ('det:art', 1)]",0.08484848484848485
020900.ipcore.cex,"[('prep', 5), ('det:art', 4), ('part', 3), ('mod', 1), ('inf', 1)]",0.09090909090909091
020906.ipcore.cex,"[('prep', 1), ('part', 1), ('det:art', 1)]",0.02040816326530612
020914.ipcore.cex,"[('det:art', 7), ('prep', 2), ('part', 1)]",0.0684931506849315
020920.ipcore.cex,"[('det:art', 4), ('cop', 4), ('prep', 1), ('qn', 1)]",0.07633587786259542
020929.ipcore.cex,"[('part', 5), ('det:art', 4), ('mod', 2), ('qn', 1), ('prep', 1)]",0.08280254777070063
021005.ipcore.cex,"[('cop', 4), ('prep', 3), ('mod', 3), ('inf', 2), ('det:art', 2), ('comp', 1), ('part', 1), ('qn', 1)]",0.09340659340659341
021011.ipcore.cex,"[('part', 3), ('prep', 2), ('comp', 2), ('coord', 1), ('cop', 1)]",0.06
021020.ipcore.cex,"[('mod', 3), ('inf', 3), ('qn', 2), ('det:art', 1), ('cop', 1), ('aux', 1), ('part', 1), ('comp', 1)]",0.07262569832402235
021024.ipcore.cex,"[('det:art', 4), ('cop', 2), ('prep', 2), ('qn', 2), ('aux', 1), ('coord', 1), ('part', 1), ('conj', 1), ('inf', 1), ('mod', 1)]",0.09523809523809523
021102.ipcore.cex,"[('det:art', 5), ('prep', 3), ('mod', 3), ('cop', 2), ('part', 2), ('qn', 1)]",0.08791208791208792
021117.ipcore.cex,"[('mod', 3), ('prep', 2), ('det:art', 2)]",0.043209876543209874
021123.ipcore.cex,"[('mod', 4), ('comp', 3), ('det:art', 3), ('cop', 3), ('prep', 1), ('conj', 1)]",0.09259259259259259
021130.ipcore.cex,"[('det:art', 5), ('qn', 4), ('part', 2), ('prep', 1), ('cop', 1), ('comp', 1), ('coord', 1)]",0.10344827586206896
030018a.ipcore.cex,"[('det:art', 8), ('prep', 5), ('cop', 3), ('comp', 1), ('aux', 1), ('part', 1), ('qn', 1), ('mod', 1)]",0.10294117647058823
030018b.ipcore.cex,"[('prep', 6), ('det:art', 6), ('comp', 5), ('part', 4), ('cop', 1), ('inf', 1), ('coord', 1)]",0.12
030027.ipcore.cex,"[('prep', 5), ('det:art', 4), ('mod', 2), ('qn', 1), ('part', 1), ('inf', 1), ('coord', 1), ('cop', 1)]",0.08743169398907104
030103.ipcore.cex,"[('det:art', 13), ('prep', 6), ('mod', 5), ('cop', 3), ('part', 2), ('inf', 2), ('conj', 1), ('aux', 1)]",0.16751269035532995
030110.ipcore.cex,"[('det:art', 6), ('cop', 5), ('prep', 5), ('part', 3), ('aux', 2), ('mod', 1), ('comp', 1), ('qn', 1), ('inf', 1)]",0.15527950310559005
030117.ipcore.cex,"[('det:art', 7), ('cop', 5), ('mod', 3), ('prep', 3), ('part', 2)]",0.11627906976744186
030124.ipcore.cex,"[('det:art', 19), ('prep', 8), ('mod', 6), ('qn', 5), ('inf', 5), ('part', 4), ('cop', 4), ('aux', 2), ('comp', 2)]",0.24553571428571427
