Folder,File,IPSyn Score
Sarah,020305.cha,11
Sarah,020307.cha,9
Sarah,020319.cha,15
Sarah,020322.cha,13
Sarah,020326.cha,17
Sarah,020328.cha,11
Sarah,020410.cha,14
Sarah,020412.cha,16
Sarah,020417.cha,12
Sarah,020419.cha,20
Sarah,020426.cha,12
Sarah,020507.cha,12
Sarah,020515.cha,14
Sarah,020525.cha,19
Sarah,020530.cha,18
Sarah,020604.cha,13
Sarah,020613.cha,27
Sarah,020620.cha,14
Sarah,020630.cha,17
Sarah,020705.cha,24
Sarah,020712.cha,21
Sarah,020718.cha,12
Sarah,020728.cha,23
Sarah,020802.cha,21
Sarah,020825a.cha,18
Sarah,020825b.cha,22
Sarah,020900.cha,28
Sarah,020906.cha,20
Sarah,020914.cha,21
Sarah,020920.cha,18
Sarah,020929.cha,25
Sarah,021005.cha,29
Sarah,021011.cha,23
Sarah,021020.cha,28
Sarah,021024.cha,30
Sarah,021102.cha,25
Sarah,021117.cha,26
Sarah,021123.cha,37
Sarah,021130.cha,21
Sarah,030018a.cha,32
Sarah,030018b.cha,28
Sarah,030027.cha,29
Sarah,030103.cha,40
Sarah,030110.cha,33
Sarah,030117.cha,30
Sarah,030124.cha,32
Sarah,030202.cha,37
Sarah,030210.cha,31
Sarah,030216.cha,42
Sarah,030223.cha,25
Sarah,030307a.cha,29
Sarah,030307b.cha,40
Sarah,030313.cha,42
Sarah,030320.cha,39
Sarah,030328.cha,27
Sarah,030401.cha,31
Sarah,030409.cha,36
Sarah,030416.cha,33
Sarah,030426.cha,45
Sarah,030501.cha,34
Sarah,030507.cha,37
Sarah,030513.cha,33
Sarah,030520.cha,36
Sarah,030606.cha,47
Sarah,030616.cha,41
Sarah,030623.cha,37
Sarah,030630.cha,48
Sarah,030709.cha,43
Sarah,030716.cha,48
Sarah,030723.cha,50
Sarah,030730.cha,46
Sarah,030806.cha,32
Sarah,030812.cha,44
Sarah,030820.cha,37
Sarah,030827.cha,40
Sarah,030903.cha,37
Sarah,030918.cha,29
Sarah,030926a.cha,42
Sarah,030926b.cha,46
Sarah,031001.cha,41
Sarah,031009.cha,51
Sarah,031016.cha,53
Sarah,031030.cha,32
Sarah,031116.cha,42
Sarah,031129.cha,55
Sarah,040005.cha,49
Sarah,040014.cha,38
Sarah,040028.cha,48
Sarah,040104.cha,44
Sarah,040111.cha,37
Sarah,040118.cha,52
Sarah,040128.cha,51
Sarah,040201.cha,53
Sarah,040209.cha,42
Sarah,040216.cha,40
Sarah,040223.cha,58
Sarah,040228.cha,36
Sarah,040307.cha,49
Sarah,040313.cha,51
Sarah,040326.cha,48
Sarah,040401.cha,57
Sarah,040411.cha,44
Sarah,040418.cha,47
Sarah,040425.cha,47
Sarah,040504.cha,52
Sarah,040508.cha,50
Sarah,040514.cha,49
Sarah,040522.cha,57
Sarah,040529.cha,52
Sarah,040605.cha,51
Sarah,040610.cha,48
Sarah,040617.cha,44
Sarah,040624.cha,48
Sarah,040700.cha,60
Sarah,040711.cha,48
Sarah,040717.cha,53
Sarah,040724.cha,50
Sarah,040807.cha,43
Sarah,040813.cha,50
Sarah,040820.cha,61
Sarah,040904.cha,51
Sarah,040912.cha,54
Sarah,040919.cha,45
Sarah,040926.cha,56
Sarah,041006.cha,64
Sarah,041021.cha,52
Sarah,041027.cha,56
Sarah,041104.cha,58
Sarah,041113.cha,52
Sarah,041119.cha,50
Sarah,041126.cha,46
Sarah,050002.cha,49
Sarah,050010.cha,46
Sarah,050016.cha,46
Sarah,050025.cha,49
Sarah,050030.cha,55
Sarah,050106.cha,56
